        Sim_Code  PCR_Mass   Lab  NShows  PCR_EMin  PCR_EMax  PCR_ThMin  PCR_ThMax  Det_S
0  Corsika-77500         1  BUAP    1000         9        11          0         25    1.0
       iClst  nShow  NPart         CCode  sCCode  NGam  NEle  NMu  ftP_ID  ltP_ID         dXm         dYm         dRm         sRm           Tmin          dT             Tm            sT          Px         Py          Pz         Ene      Theta     sTheta        Phi         dE/dS         dE/dT        dE/dTS    Thermy
647     49.0    6.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     3.0     1.0 -448.846555 -128.318927  466.828637   60.022500   37715.361768    0.070080   37715.396808  4.955421e-02    0.015927  -0.030663    0.224921    0.227687   8.733700   2.969093 -62.551879  6.319896e-05  4.594796e+00  1.275376e-03  0.052405
733     18.0    7.0    4.0  1.003000e+03     2.0   3.0   1.0  0.0     1.0     1.0 -104.396041  138.134204  173.146157  285.900170   62995.624842    0.072151   62995.667590  3.046789e-02    1.116717   1.295629    3.554004    3.944204  25.700581   4.775281  49.241568  4.825369e-05  1.294587e+02  1.583807e-03  0.092388
772     25.0    8.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0 -325.775785  177.307958  370.901569  263.750664   59965.067316    0.012284   59965.073458  8.686275e-03    0.133346   0.777699    1.841197    2.003148  23.197629  12.972672  80.270560  2.879559e-05  2.306373e+02  3.315449e-03  0.244232
774     27.0    8.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0  -32.878116 -197.841380  200.554686  284.354838   59966.562028    0.047453   59966.585754  3.355422e-02    0.043733   0.196814    0.467700    0.509305  23.319735   9.476164  77.472194  6.298790e-06  1.517903e+01  1.877253e-04  0.179283
805     15.0    9.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0   11.991129 -270.485927  270.751591    4.484098   25710.690612    0.006270   25710.693747  4.433448e-03   -0.225766   0.042118    0.459408    0.513618  26.560757   5.421324 -10.567503  2.554405e-02  1.158768e+02  5.762967e+00  0.105627
810     20.0    9.0    2.0  1.000000e+09     6.0   0.0   0.0  0.0     8.0     8.0  159.024458  160.696300  226.079807  434.631063   25662.452631    0.970106   25662.937684  6.859683e-01    1.705457  -0.526093   50.529790   50.607682   2.022897   1.292279 -17.143752  2.679014e-04  7.377565e+01  3.905454e-04  0.022567
819     29.0    9.0    3.0  1.002000e+03     2.0   2.0   1.0  0.0     3.0     1.0  249.889668 -138.570714  285.738848  188.766278   25662.951763    0.017900   25662.963489  1.015965e-02    0.218835   0.108893    3.615127    3.623454   3.868075   1.048873  26.455036  1.016890e-04  3.566864e+02  1.001009e-02  0.018347
822     32.0    9.0    3.0  2.001000e+03     3.0   1.0   2.0  0.0     2.0     3.0  314.961531 -168.716378  357.303767   33.612250   25663.491017    0.011412   25663.494859  6.555893e-03    0.196962   0.323359    4.788312    4.803259   4.521097   0.991687  58.653882  4.251487e-03  7.327745e+02  6.485974e-01  0.017361
838     48.0    9.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     2.0     1.0  254.922118 -350.296845  433.235693  286.101940   25666.831455    0.050531   25666.856721  3.573079e-02    0.094727  -0.035562    0.849327    0.855334   6.793767   4.217483 -20.576721  1.044947e-05  2.393897e+01  2.924582e-04  0.074063
864     74.0    9.0    2.0  2.000000e+03     3.0   0.0   2.0  0.0     2.0     3.0    6.461215 -232.650105  232.739809  118.581371   25747.962094    0.006777   25747.965482  4.792287e-03    0.024017  -0.009121    0.218678    0.220265   6.700611   0.391208 -20.796171  1.566437e-05  4.597203e+01  3.269345e-03  0.006875
905    115.0    9.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     2.0 -326.360199 -302.611353  445.066973  257.630729   25665.409058    0.040945   25665.429530  2.895218e-02   -0.004923   0.011618    0.215644    0.216025   3.348814   0.240077 -67.034545  3.254685e-06  7.461703e+00  1.124198e-04  0.004197
996     58.0   10.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0 -169.812069 -123.361760  209.891073  139.060881  108823.029447    0.077731  108823.068312  5.496396e-02    0.093166  -0.049404    0.476012    0.487563  12.491419   0.199058 -27.935838  2.521279e-05  8.870757e+00  4.587232e-04  0.003558
1003    65.0   10.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     3.0     1.0   -4.513301   74.539508   74.676021  358.431602  108541.182537    0.660876  108541.512975  4.673102e-01    0.090059  -0.018765    0.456890    0.466077  11.384093   3.495727 -11.769904  3.627817e-06  9.973639e-01  7.763205e-06  0.062198
1110    70.0   11.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     3.0     1.0 -409.954632   29.907652  411.044119   85.981005   22735.409648    0.059245   22735.439271  4.189245e-02   -0.264678  -0.153002    1.320631    1.355557  13.034056   4.683185  30.030905  1.833635e-04  3.235880e+01  4.377110e-03  0.083805
