        Sim_Code  PCR_Mass   Lab  NShows  PCR_EMin  PCR_EMax  PCR_ThMin  PCR_ThMax  Det_S
0  Corsika-77500         1  BUAP    1000         9        11          0         25    1.0
       iClst  nShow  NPart         CCode  sCCode  NGam  NEle  NMu  ftP_ID  ltP_ID         dXm         dYm         dRm         sRm           Tmin          dT             Tm            sT          Px         Py          Pz         Ene      Theta     sTheta        Phi         dE/dS         dE/dT        dE/dTS    Thermy
12878  311.0  169.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     2.0  448.414878 -469.469617  649.213081   46.173048   21114.985407    0.007283   21114.989049  5.149982e-03    0.106420  -0.298334    1.009634    1.058155  17.417870  10.932656 -70.367912  4.963318e-04  2.055076e+02  9.639416e-02  0.198769
12880  313.0  169.0    3.0  2.001000e+03     3.0   1.0   2.0  0.0     3.0     2.0 -351.309604  185.112301  397.095709  127.843177   21114.844433    0.089663   21114.884318  4.564329e-02    0.065500  -0.184310    0.586159    0.618049  18.453964   2.258063 -70.435744  3.781533e-05  1.354115e+01  8.285152e-04  0.041536
12884  317.0  169.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0  331.021740  -96.917219  344.917874    0.443217   21113.889193    0.000028   21113.889207  1.949981e-05    0.247339  -0.645566    2.226843    2.331687  17.247023   1.449556 -69.036410  1.186969e+01  1.260384e+05  6.416114e+05  0.026488
12890  323.0  169.0    3.0  1.002000e+03     2.0   2.0   1.0  0.0     1.0     1.0  181.124799  363.607388  406.222262   11.832603   20973.893087    0.013418   20973.901285  7.187459e-03    0.008260  -0.043040    0.234636    0.238695  10.579858   1.063103 -79.136865  1.704840e-03  3.321462e+01  2.372295e-01  0.018874
12891  324.0  169.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     2.0     1.0   12.165630 -172.862789  173.290353  241.263851   20977.661064    0.034125   20977.678126  2.413008e-02    0.045912  -0.123619    0.597706    0.612082  12.441647   6.884791 -69.625129  1.051538e-05  2.536698e+01  4.357971e-04  0.122756
12970   27.0  171.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     3.0     1.0  276.843290   76.824594  287.305109  555.766199   34534.386367    0.046921   34534.409827  3.317842e-02   -0.022728   0.067928    0.322698    0.330561  12.515085   4.332311 -71.500681  1.070205e-06  9.963425e+00  3.225703e-05  0.077380
13035   92.0  171.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     3.0     1.0    0.247866 -286.029468  286.029575  451.463652   34437.478833    0.048942   34437.503305  3.460754e-02   -0.027900  -0.021617    0.211069    0.214093   9.493027   0.884306  37.768233  1.050406e-06  6.186494e+00  3.035282e-05  0.015648
13037   94.0  171.0    3.0  1.002000e+03     2.0   2.0   1.0  0.0     1.0     2.0  237.482449 -179.161519  297.484056  243.446153   34438.611991    0.057977   34438.650474  3.332819e-02   -0.230862  -0.139145    1.192470    1.222558  12.737395   4.269826  31.078250  2.062831e-05  3.668350e+01  6.189633e-04  0.076332
13041   98.0  171.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0  -14.858006 -349.653381  349.968923  290.059807   34504.432912    0.007675   34504.436750  5.427211e-03   -0.230556  -0.116872    0.876264    0.913594  16.435332   9.894630  26.881062  1.085870e-05  1.683668e+02  2.001158e-03  0.179157
13049  106.0  171.0    3.0  1.002000e+03     2.0   2.0   1.0  0.0     3.0     1.0   16.949210  -97.110229   98.578255  391.403615   34458.232350    0.042754   34458.258779  2.309836e-02   -0.144900  -0.040584    0.580555    0.599751  14.530932   1.591672  15.646522  3.914903e-06  2.596619e+01  1.694956e-04  0.028694
13052  109.0  171.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0 -306.763562  383.363503  490.990283   12.078578   34459.815110    0.004221   34459.817220  2.984740e-03   -0.304413  -0.153576    1.420382    1.460732  13.498282   7.726576  26.770816  1.001242e-02  4.895641e+02  3.355660e+00  0.138265
13164    2.0  174.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0  128.849873  138.901382  189.462090  368.680069  172581.952554    0.088313  172581.996711  6.244688e-02    0.049301  -0.038498    1.020280    1.022218   3.508330   1.556899 -37.985651  7.520460e-06  1.636967e+01  1.204316e-04  0.027221
13224   35.0  175.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0  -71.048787   85.989712  111.544434  329.580776   27556.654060    0.072462   27556.690290  5.123804e-02    0.108609  -0.031414    0.173079    0.206735  33.153818   8.858862 -16.132087  1.903221e-06  4.034865e+00  3.714542e-05  0.183946
13227   38.0  175.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     3.0     1.0  338.268166  120.440225  359.069910  351.263520   27552.754393    0.038231   27552.773509  2.703325e-02    0.370814  -0.094644    0.607670    0.718159  32.202118   5.697258 -14.318090  5.820424e-06  2.656676e+01  2.153141e-04  0.117319
13256   67.0  175.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     3.0     1.0 -177.388865 -105.839224  206.564156    4.541812   26338.549199    0.006872   26338.552635  4.859361e-03    0.211809  -0.007565    0.485997    0.530202  23.562113   3.942483  -2.045645  2.570298e-02  1.091319e+02  5.290463e+00  0.075009
13354   11.0  177.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0 -179.675429   70.556689  193.032396  186.846870   58821.116146    0.038815   58821.135553  2.744662e-02   -0.111081   0.082561    0.390620    0.414414  19.509996   5.412829 -36.621758  1.187034e-05  1.509948e+01  4.325041e-04  0.100077
13406   16.0  178.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0 -291.500726  154.484862  329.906420  384.794624   32676.789337    0.016498   32676.797586  1.166574e-02   -0.075718  -0.009454    0.671079    0.675404   6.487051   1.016636   7.117286  4.561477e-06  5.790133e+01  3.910485e-04  0.017857
13429   39.0  178.0    2.0  2.000000e+03     3.0   0.0   2.0  0.0     3.0     2.0  203.204289  230.248344  307.093280  100.424784   33254.545940    0.004546   33254.548213  3.214211e-03   -0.027639  -0.043826    0.146427    0.155358  19.486415   2.914778  57.761837  1.540465e-05  4.834978e+01  4.794162e-03  0.053940
13437   47.0  178.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0  -50.373349  203.001532  209.158065   95.728225   32676.573513    0.063538   32676.605282  4.492828e-02   -0.023691  -0.033076    0.332234    0.334748   6.981600   3.071293  54.387763  3.652907e-05  7.450896e+00  8.130711e-04  0.053979
13443   53.0  178.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0 -273.392310 -375.819662  464.740544  208.891650   32684.379724    0.041815   32684.400631  2.956732e-02   -0.039526  -0.138518    1.401243    1.408628   5.869340   3.796802  74.074089  3.228152e-05  4.764298e+01  1.091834e-03  0.066567
13446   56.0  178.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     3.0     1.0  -15.990498 -421.174269  421.477711  324.589954   32684.941536    0.034142   32684.958607  2.414229e-02   -0.037317  -0.107124    1.077020    1.083005   6.012561   0.458356  70.794068  1.027922e-05  4.486110e+01  4.257942e-04  0.008044
13524  134.0  178.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     2.0  318.162013  -52.570456  322.475920  155.052451   32803.538383    0.033247   32803.555007  2.350917e-02   -0.072748  -0.037999    0.453583    0.460951  10.256527   5.083240  27.579682  1.917332e-05  1.960811e+01  8.156023e-04  0.090042
13640   20.0  182.0    3.0  3.000000e+00     1.0   3.0   0.0  0.0     1.0     1.0  -36.236861  134.951387  139.731840  452.551512  190395.810049    0.398977  190396.029992  2.026101e-01    0.102800  -0.018801    0.692788    0.700626   8.578187   2.217003 -10.364038  3.420980e-06  3.458021e+00  1.688463e-05  0.039122
13695    7.0  184.0    5.0  2.003000e+03     3.0   3.0   2.0  0.0     3.0     1.0  167.791674  230.782416  285.332385  334.302024   34325.039198    0.082456   34325.065669  3.384437e-02    0.017180  -0.203131    1.712569    1.724674   6.788287   0.976960 -85.165593  1.543224e-05  5.096047e+01  4.559901e-04  0.017171
13696    8.0  184.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0 -353.625781  275.214671  448.100779  286.138783   34324.446238    0.112647   34324.502561  7.965320e-02    0.008364  -0.068835    0.711351    0.714803   5.567477   0.345408 -83.071709  8.730374e-06  8.974051e+00  1.096062e-04  0.006057
13707   19.0  184.0    6.0  1.005000e+03     2.0   5.0   1.0  0.0     1.0     2.0 -124.824673 -183.753490  222.140821  413.717285   34325.436827    0.089510   34325.483436  3.682020e-02    0.022219  -0.218609    1.873515    1.886391   6.689377   0.892077 -84.196417  1.102109e-05  5.123391e+01  2.993300e-04  0.015676
13716   28.0  184.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     3.0     1.0 -244.984954  324.287334  406.423305  306.890434   34324.767307    0.005971   34324.770292  4.222021e-03    0.008850  -0.081752    0.794352    0.798600   5.910097   2.976548 -83.821245  8.479354e-06  1.891960e+02  2.008840e-03  0.052205
13722   34.0  184.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0  181.997491   39.244580  186.180622  326.205485   34324.697058    0.029411   34324.711764  2.079669e-02    0.005463  -0.118138    1.033773    1.040515   6.526298   4.119218 -87.352323  9.778360e-06  5.003515e+01  4.702109e-04  0.072301
13726   38.0  184.0    3.0  1.002000e+03     2.0   2.0   1.0  0.0     1.0     3.0  -52.666310 -194.605272  201.605933  497.955861   34325.503281    0.223128   34325.588218  1.207210e-01   -0.001733  -0.056042    0.467254    0.470717   6.842593   0.519112  88.228871  1.898358e-06  3.899246e+00  1.572530e-05  0.009125
13727   39.0  184.0    3.0  3.000000e+00     1.0   3.0   0.0  0.0     1.0     1.0  -18.332386 -190.392441  191.272993  353.458970   34325.098823    0.053999   34325.127074  2.708639e-02    0.005541  -0.062753    0.541471    0.545124   6.636244   1.099138 -84.954084  4.363322e-06  2.012613e+01  1.610951e-04  0.019312
13736   48.0  184.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     2.0  106.994467  -30.300629  111.202266  210.693943   34324.722164    0.025208   34324.734767  1.782447e-02    0.044300  -0.497270    4.327482    4.356188   6.580823   4.501617 -84.909142  9.813017e-05  2.444074e+02  5.505671e-03  0.079008
13747   59.0  184.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0 -478.015596  319.042371  574.705963   85.394945   34324.328293    0.039285   34324.347935  2.777888e-02    0.004431  -0.026005    0.234348    0.235833   6.422616   1.353687 -80.330023  3.234002e-05  8.489958e+00  1.164237e-03  0.023773
13749   61.0  184.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0 -265.643962   80.855999  277.676804  333.788087   34325.631230    0.117650   34325.690055  8.319113e-02    0.005836  -0.108601    0.858736    0.865816   7.218020   2.190411 -86.924070  7.771124e-06  1.040767e+01  9.341402e-05  0.038526
13751   63.0  184.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     2.0     1.0  239.573918  -18.884495  240.317054  276.423228   34324.824209    0.014067   34324.831243  9.947052e-03    0.008528  -0.063635    0.574409    0.577987   6.377687   3.602730 -82.366989  7.564310e-06  5.811225e+01  7.605340e-04  0.063229
13752   64.0  184.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0  167.990681  -69.967736  181.978991  546.355702   34325.251347    0.027864   34325.265279  1.970286e-02    0.005858  -0.068209    0.551904    0.556140   7.071049   3.547868 -85.091661  1.863086e-06  2.822778e+01  9.456400e-05  0.062357
13754   66.0  184.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0  108.998884  288.470002  308.375905   41.168586   34324.308404    0.084813   34324.350810  5.997191e-02   -0.001724  -0.039093    0.379065    0.381083   5.893845   0.226341  87.474646  2.248475e-04  6.354469e+00  3.749276e-03  0.003971
13755   67.0  184.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     2.0  408.983110  393.241768  567.367845   85.089451   34324.693190    0.037026   34324.711703  2.618123e-02    0.005899  -0.061174    0.646166    0.649113   5.433181   1.215370 -84.492209  8.965388e-05  2.479402e+01  3.424488e-03  0.021306
13758   70.0  184.0    2.0  2.000000e+03     3.0   0.0   2.0  0.0     3.0     2.0 -151.499436 -419.383874  445.909086   42.730354   34325.417737    0.020309   34325.427891  1.436049e-02   -0.001326  -0.058894    0.482223    0.485816   6.964815   2.753077  88.710609  2.660719e-04  3.383241e+01  1.852934e-02  0.048389
13759   71.0  184.0    3.0  1.002000e+03     2.0   2.0   1.0  0.0     1.0     2.0 -344.999919 -108.367432  361.619198  226.351267   34325.079021    0.024665   34325.093459  1.286006e-02   -0.000613  -0.096306    0.890019    0.895218   6.175856   2.520129  89.635043  1.747281e-05  6.961766e+01  1.358794e-03  0.044227
13762   74.0  184.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0 -219.852855  386.877560  444.982612  139.405108   34323.780167    0.063834   34323.812084  4.513764e-02    0.018929  -0.053998    0.514450    0.517703   6.346617   0.696491 -70.682347  2.663933e-05  1.146969e+01  5.901932e-04  0.012231
13789  101.0  184.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0  209.480086  128.253262  245.623300  343.370529   34361.277158    0.055214   34361.304765  3.904231e-02    0.003468  -0.037458    0.248663    0.251514   8.602682   1.222856 -84.711236  2.133220e-06  6.442245e+00  5.464006e-05  0.021584
13794  106.0  184.0    2.0  2.000000e+03     3.0   0.0   2.0  0.0     2.0     3.0  448.993873   28.909056  449.923584   14.159551   34360.615223    0.004247   34360.617346  3.003012e-03   -0.001354  -0.025505    0.257972    0.259248   5.654279   2.022641  86.960571  1.293056e-03  8.635824e+01  4.307297e-01  0.035467
13904    9.0  185.0    3.0  1.002000e+03     2.0   2.0   1.0  0.0     1.0     1.0  229.660103 -403.353701  464.152961  197.100675   27318.918775    0.041308   27318.938351  2.073861e-02   -0.276930  -0.151182    2.002560    2.027267   8.953523   1.947656  28.631118  5.218368e-05  9.775800e+01  2.516379e-03  0.034406
13931   36.0  185.0    2.0  2.000000e+03     3.0   0.0   2.0  0.0     2.0     3.0 -168.317102  321.803803  363.164335  144.650637   27421.086541    0.042564   27421.107823  3.009702e-02   -0.073017  -0.061991    0.432628    0.443138  12.483791   5.997814  40.330713  2.117866e-05  1.472414e+01  7.037029e-04  0.107021
13953   58.0  185.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0 -159.570726 -117.569696  198.205575  277.896095   27413.904622    0.008274   27413.908759  5.850926e-03   -0.038611  -0.021426    0.203006    0.207753  12.271675   2.891574  29.027412  2.690184e-06  3.551375e+01  4.598664e-04  0.051626
13954   59.0  185.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0 -259.132459  284.973927  385.174986  227.671189   27411.712688    0.028645   27411.727011  2.025481e-02   -0.147034  -0.076087    0.759203    0.777131  12.301533   5.142043  27.360614  1.499265e-05  3.836963e+01  7.402382e-04  0.091731
13967   72.0  185.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     2.0  452.120064  335.892410  563.237307   35.319145   27390.083931    0.018676   27390.093269  1.320575e-02   -0.023045  -0.024512    0.123766    0.128279  15.207573   0.746997  46.766489  1.028339e-04  9.714632e+00  7.787642e-03  0.013510
13975   80.0  185.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0  367.231589   83.510533  376.607288   85.503300   27383.821205    0.068746   27383.855578  4.861094e-02   -0.048616  -0.034718    0.334453    0.339748  10.127275   0.899837  35.531858  4.647196e-05  6.989267e+00  9.560176e-04  0.015953
13983   88.0  185.0    6.0  1.005000e+03     2.0   5.0   1.0  0.0     1.0     1.0   85.232897  252.105177  266.123406  124.840064   27374.432797    0.063782   27374.461676  2.198746e-02   -0.693286  -0.247787    3.590319    3.665042  11.588502   1.434994  19.667359  2.351641e-04  1.666954e+02  1.069586e-02  0.025564
13987   92.0  185.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0 -244.205355   31.113609  246.179431  337.107636   27339.245762    0.020221   27339.255873  1.429864e-02   -0.131604  -0.105529    2.177294    2.183820   4.430217   2.917769  38.725033  1.921673e-05  1.527399e+02  1.344049e-03  0.051055
14008  113.0  185.0    3.0  1.002000e+03     2.0   2.0   1.0  0.0     1.0     1.0 -243.871276 -262.904410  358.597167   49.496786   27331.431972    0.074091   27331.462719  3.861859e-02   -0.057276  -0.020073    0.374424    0.379358   9.207196   2.423321  19.314017  1.548444e-04  9.823455e+00  4.009685e-03  0.042834
14082    2.0  188.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     2.0     1.0   88.874782  161.627147  184.450702  476.580006  232294.315002    0.582071  232294.606037  4.115865e-01    0.041605  -0.109081    0.438945    0.454208  14.894181   7.156659 -69.122433  1.999786e-06  1.103558e+00  4.858739e-06  0.128914
14122   42.0  188.0    3.0  1.002000e+03     2.0   2.0   1.0  0.0     3.0     1.0   75.451627 -188.680066  203.207075  248.310681  231845.904585    0.734819  231846.172987  4.054600e-01    0.159308  -0.268863    1.291266    1.328554  13.605293   0.975378 -59.352209  2.154708e-05  3.276667e+00  5.314244e-05  0.017514
14175   95.0  188.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     3.0     1.0 -233.814987 -150.081330  277.837819   57.023229  231835.937270    0.052464  231835.963502  3.709785e-02    0.025309  -0.056563    0.244613    0.252364  14.215460   1.997158 -65.893555  7.761120e-05  6.802851e+00  2.092124e-03  0.035951
14178   98.0  188.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     3.0     1.0 -198.117415 -266.989937  332.466745  168.216623  231843.781956    0.154732  231843.859322  1.094121e-01    0.035056  -0.113026    0.552368    0.565080  12.092040   3.719629 -72.768196  1.996973e-05  5.164745e+00  1.825202e-04  0.066346
14191  111.0  188.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     2.0 -364.270100  -37.156853  366.160262   92.104880  231849.086863    0.097312  231849.135520  6.881008e-02    0.035912  -0.056868    0.263003    0.271476  14.344915   4.084514 -57.727665  3.200117e-05  3.945348e+00  4.650719e-04  0.073520
14228   29.0  189.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     2.0  -69.052486  101.549030  122.802489  118.502236   84473.490468    0.035664   84473.508300  2.521849e-02   -0.063629  -0.019615    0.197923    0.208841  18.593423   3.641877  17.133078  1.487180e-05  8.281606e+00  5.897412e-04  0.067018
14266   67.0  189.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0    7.886901 -207.968789  208.118285  353.145149   85129.408112    0.024273   85129.420249  1.716358e-02   -0.055960  -0.008016    0.119911    0.132586  25.241062   0.926344   8.151647  1.063145e-06  7.725316e+00  6.194550e-05  0.017874
14373   13.0  190.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     2.0     1.0  -29.323740   73.520879   79.153025   53.045447   40988.956881    0.081381   40988.997572  5.754486e-02    0.374535  -1.146040    3.212522    3.431324  20.571563  13.224152 -71.902176  1.219454e-03  5.962971e+01  2.119173e-02  0.244342
14489   25.0  192.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0 -251.140326 -336.996769  420.283577  116.920023   41545.954346    0.015502   41545.962097  1.096124e-02    0.374998   0.506039    1.511104    1.637112  22.626773  11.298525  53.459858  1.197569e-04  1.493683e+02  1.092649e-02  0.212258
14490   26.0  192.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0   56.971007 -281.765776  287.467647  268.314216   41545.132620    0.059403   41545.162321  4.200436e-02    0.095115   0.129957    0.386555    0.418761  22.617433   8.685539  53.799684  5.816729e-06  9.969701e+00  1.384825e-04  0.163593
14519   23.0  193.0    2.0  2.000000e+03     3.0   0.0   2.0  0.0     2.0     3.0  144.188607  271.257550  307.198654   15.744892   38941.316447    0.095456   38941.364175  6.749759e-02   -0.031939   0.031510    0.149636    0.156258  16.690535   1.990935 -44.613150  6.303211e-04  2.315045e+00  9.338562e-03  0.036269
14706   26.0  195.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0  -62.837900  111.028704  127.577328  174.457336   45404.998826    0.032977   45405.015314  2.331814e-02   -0.154979  -0.363698    0.889381    0.973290  23.965764   2.530175  66.920162  3.197892e-05  4.174139e+01  1.371477e-03  0.048310
14708   28.0  195.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     2.0     1.0  200.845241 -151.557553  251.611809   18.064603   45403.796754    0.023779   45403.808644  1.681417e-02   -0.248868  -0.573143    1.429665    1.560248  23.607981   8.911324  66.528748  4.781199e-03  9.279918e+01  2.843723e-01  0.169054
14709   29.0  195.0   13.0  5.008000e+03     3.0   8.0   5.0  0.0     1.0     1.0 -329.304971 -370.709831  495.850323  186.461589   45401.972824    0.097223   45402.018552  3.499692e-02   -2.957294  -6.989386   17.300321   18.891788  23.686019   2.465186  67.066190  5.433683e-04  5.398283e+02  1.552662e-02  0.046969
14710   30.0  195.0    4.0  1.003000e+03     2.0   3.0   1.0  0.0     1.0     3.0 -205.543640  155.079506  257.483672  506.841125   45403.227482    0.058657   45403.253204  2.923273e-02   -0.439273  -1.076513    2.620396    2.867031  23.927180   9.314721  67.801988  1.116063e-05  9.807940e+01  3.817984e-04  0.177075
14711   31.0  195.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     3.0     1.0   40.382018  203.998923  207.957371   13.491146   45402.583706    0.007119   45402.587265  5.033709e-03   -0.166198  -0.363131    0.918258    1.001341  23.504563  11.232343  65.407338  5.501542e-03  1.989666e+02  1.093157e+00  0.212412
14865   11.0  197.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0  177.184272 -177.358928  250.699931  126.295768   70018.113464    0.011556   70018.119242  8.171597e-03   -0.416074  -0.362253    1.680503    1.768738  18.173942  10.780595  41.044309  1.108884e-04  2.164760e+02  1.357163e-02  0.196870
14880   26.0  197.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0 -447.402058  316.634370  548.111235   47.989657   70049.717729    0.073568   70049.754513  5.202010e-02   -2.761171  -2.451048   10.361980   11.000106  19.611670   5.722631  41.594960  4.776410e-03  2.114628e+02  9.182031e-02  0.105853
14881   27.0  197.0   21.0  4.017000e+03     3.0  17.0   4.0  0.0     3.0     1.0 -337.973913   24.279656  338.844902  294.668516   70044.465195    0.093150   70044.508885  2.840379e-02   -6.227603  -5.416245   23.574856   24.977882  19.294829   1.166524  41.014000  2.876657e-04  8.794164e+02  1.012808e-02  0.021570
14883   29.0  197.0    6.0  6.000000e+00     1.0   6.0   0.0  0.0     1.0     1.0  360.403658 -211.384143  417.820598  121.072539   70045.312017    0.057260   70045.337594  2.016293e-02   -2.059734  -1.784534    7.754111    8.219082  19.364566   3.317178  40.905336  5.607019e-04  4.076535e+02  2.780993e-02  0.061333
14892   38.0  197.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     3.0     1.0   56.234543  464.499903  467.891530   91.401042   70041.949682    0.075553   70041.987458  5.342370e-02   -0.100524  -0.101257    0.441964    0.464439  17.891928   3.767063  45.208277  5.559383e-05  8.693668e+00  1.040641e-03  0.069039
14895   41.0  197.0    3.0  2.001000e+03     3.0   1.0   2.0  0.0     2.0     1.0  -70.456035  141.904222  158.432513  438.587257   70044.331750    0.049290   70044.356533  2.464613e-02   -0.236572  -0.235060    0.954742    1.011386  19.254567   3.871857  44.816317  5.257810e-06  4.103796e+01  2.133407e-04  0.071526
14896   42.0  197.0    6.0  2.004000e+03     3.0   4.0   2.0  0.0     1.0     1.0   -9.247278 -345.415835  345.539595  202.175420   70042.728051    0.072764   70042.765573  2.557879e-02   -3.367241  -3.439551   13.885666   14.696281  19.118632   5.161637  45.608647  3.595429e-04  5.745719e+02  1.405684e-02  0.095218
14979   27.0  199.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0   75.915497  130.069149  150.602611  290.410892   61356.294291    0.083106   61356.335844  5.876449e-02   -0.065451  -0.004931    0.216729    0.226539  16.848882   4.952661   4.308680  2.686067e-06  3.855095e+00  4.570980e-05  0.090205
15018   33.0  200.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     3.0     1.0  -57.132174 -455.030917  458.603555   91.356022   45659.624570    0.022287   45659.635714  1.575906e-02    0.056550   0.020238    1.160013    1.161569   2.963974   0.546164  19.691562  1.391781e-04  7.371269e+01  8.832179e-03  0.009545
15020   35.0  200.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0 -236.343078 -144.190785  276.855617  332.308470   45659.667298    0.049760   45659.692178  3.518568e-02    0.048091   0.011669    1.031029    1.032217   2.747913   1.477181  13.639151  9.347340e-06  2.933710e+01  2.656650e-04  0.025808
15041   56.0  200.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     3.0     1.0 -215.438559    3.849060  215.472940    6.642299   45653.082873    0.000517   45653.083132  3.658881e-04   -0.008395  -0.007770    0.351419    0.351609   1.864381   0.102569  42.783308  7.969364e-03  9.636088e+02  2.184057e+01  0.001791
15048   63.0  200.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     3.0   18.792733  206.322379  207.176473   28.009119   45649.628203    0.006276   45649.631341  4.437858e-03    0.003389  -0.010242    0.217948    0.218220   2.833714   0.676710 -71.688697  2.781605e-04  4.918342e+01  6.269312e-02  0.011825
15051   66.0  200.0    5.0  2.003000e+03     3.0   3.0   2.0  0.0     2.0     1.0 -314.812214 -127.006269  339.466232  162.856777   45649.014999    0.030143   45649.035417  1.330905e-02    0.160816   0.085032    5.780334    5.783203   1.802558   0.380324  27.867815  2.180503e-04  4.345642e+02  1.638484e-02  0.006641
15055   70.0  200.0    2.0  2.000000e+00     1.0   2.0   0.0  0.0     1.0     1.0 -115.870929   93.435021  148.849506  456.553095   45648.732785    0.040128   45648.752849  2.837444e-02    0.003406   0.002796    0.156088    0.156150   1.617008   0.303903  39.381656  7.491362e-07  5.503403e+00  2.640273e-05  0.005306
15059   74.0  200.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     2.0  162.217668 -191.886684  251.266932  429.791467   45648.854709    0.068185   45648.888801  4.821392e-02    0.013032   0.004434    0.376129    0.376419   2.096048   0.141388  18.789252  2.037774e-06  7.807431e+00  4.226614e-05  0.002469
15067   82.0  200.0    2.0  1.001000e+03     2.0   1.0   1.0  0.0     1.0     2.0  411.327677  235.331359  473.889551  378.203889   45648.500844    0.015506   45648.508597  1.096467e-02   -0.011342   0.010597    0.841843    0.841988   1.056310   0.611938 -43.055581  5.886455e-06  7.679796e+01  5.369053e-04  0.010682
15072   87.0  200.0    9.0  3.006000e+03     3.0   6.0   3.0  0.0     2.0     2.0 -336.462450 -415.935448  534.985306  167.842555   45648.924921    0.037522   45648.947192  1.508646e-02    0.538553   0.245084   19.995859   20.004635   1.694945   0.300353  24.469263  7.101114e-04  1.326087e+03  4.707256e-02  0.005244
15073   88.0  200.0    3.0  3.000000e+00     1.0   3.0   0.0  0.0     1.0     1.0 -343.503042  326.445046  473.878368  263.061836   45648.907988    0.022591   45648.918610  1.135555e-02    0.317839   0.134578   11.688511   11.693610   1.691427   0.548765  22.948497  1.689791e-04  1.029862e+03  1.488206e-02  0.009582
15074   89.0  200.0    3.0  1.002000e+03     2.0   2.0   1.0  0.0     1.0     3.0  286.011438 -205.016510  351.900998  246.928004   45648.871102    0.026810   45648.887879  1.462217e-02    0.032524   0.019031    1.485154    1.485656   1.453436   0.387620  30.333640  2.436562e-05  1.016099e+02  1.666462e-03  0.006767
