N. sh	P. id	x (m)	y (m)	t (ns)	px (GeV/c)	py (GeV/c)	pz (GeV/c)	Psq (GeV)	ek (GeV)	zha (°)	aza (°)
1424	2	565.378	208.326	24353.8	0.0392895	0.00186827	0.200024	0.0415568	0.203344	11.125	2.72243
1424	1	565.313	203.226	24353.5	0.0690601	0.00214978	0.412147	0.174639	0.417898	9.51674	1.78299
1424	1	567.067	200.404	24354.5	0.025099	0.000124463	0.147744	0.0224582	0.149861	9.64159	0.284121
1424	1	592.783	200.279	24370.7	0.0114308	7.37832e-05	0.0530411	0.00294403	0.0542589	12.162	0.369826
1424	14	299.048	200.427	24603.6	-0.234095	0.00367804	2.1157	4.53101	1.38796	6.31467	179.1
1425	1	-23.9502	-1861.46	62937.4	-0.0109068	0.00215541	0.0843469	0.007238	0.0850764	7.50885	168.821
1425	1	-84.205	-1936.71	62971.3	-0.0107995	-0.00277067	0.0588033	0.00358213	0.0598509	10.736	-165.611
1426	1	-485.94	-573.715	62020.3	-0.0119991	0.00365503	0.115167	0.0134207	0.115848	6.21591	163.059
1426	6	-304.505	112.948	61599.5	-0.113553	0.137202	4.54771	20.7134	4.44677	2.24266	129.612
1426	1	739.562	500.876	62628.1	0.0225908	0.018585	0.04614	0.00298464	0.0546319	32.375	39.4435
1426	1	-210.633	180.713	61829.4	-0.0206841	0.0297377	0.112693	0.0140118	0.118371	17.8194	124.821
1426	5	-213.49	-1049.88	62187.5	-0.0481973	-0.307306	0.732677	0.633575	0.697298	23.004	-98.9136
1426	1	-315.731	-697.117	61829.1	-0.00633352	-0.0140634	0.0605795	0.00390777	0.0625122	14.2842	-114.245
1426	1	-1344.51	-1798.62	64393.7	-0.0681729	-0.0856232	0.113476	0.0248556	0.157657	43.9649	-128.527
1426	1	-192.764	532.725	62050.4	-0.0568289	0.366341	0.995493	1.12844	1.06228	20.4254	98.8178
1426	13	51.1002	-468.724	61721.6	0.552544	-1.07453	7.33832	55.3109	6.55668	9.34999	-62.7869
1430	5	-569.805	-22.1279	43165.5	-2.31188	-0.76058	5.31903	34.2153	5.74468	24.5869	-161.789
1430	6	-483.332	298.575	42988.8	-0.508413	-0.152465	1.24024	1.81993	1.24752	23.1693	-163.307
1432	6	557.867	461.333	66589.8	-2.2737	1.07597	6.16796	44.3711	6.55635	22.1868	154.675
1434	5	1210.79	-520.901	29207.5	0.02161	-0.0847797	0.354693	0.133462	0.274638	13.8563	-75.7
1434	14	-799.351	1649.21	31235.6	-0.831873	0.616911	1.74736	4.12587	1.29919	30.6552	143.44
1435	6	437.446	595.176	33828.3	0.426541	-0.130418	0.867104	0.950816	0.875147	27.2211	-17.0013
1439	6	-1512.91	-1702.92	74788.7	-0.0944389	-0.0105328	0.985633	0.980501	0.890165	5.50684	-173.636
1440	1	-173.585	1293.32	118883	0.00951932	0.0122137	0.0709658	0.00527593	0.0726356	12.3094	52.0673
1446	5	28.7548	-342.353	19594.8	-0.0595144	-0.421534	1.30176	1.87581	1.26802	18.1093	-98.0362
1446	1	1054.68	890.378	19097.4	0.0167995	-0.00941123	0.0918575	0.00880859	0.0938541	11.8394	-29.2579
1446	1	-402.587	473.4	19050.5	-0.00714137	-0.00869504	0.0584778	0.00354625	0.0595504	10.8913	-129.397
1446	5	742.571	-301.09	19677	0.187366	-0.397876	1.20113	1.63612	1.17781	20.1099	-64.7836
1446	6	-504.118	-22.807	19440.6	-0.191375	-0.358922	1.64625	2.8756	1.59339	13.8786	-118.066
1446	6	-556.87	-1039.83	20635.9	-0.260006	-0.818515	1.66286	3.50268	1.76887	27.315	-107.623
1446	5	-77.4416	-630.86	19930.1	-0.0924818	-0.673693	1.65093	3.18798	1.68296	22.3866	-97.8165
1446	6	131.893	21.5392	19232	-0.0310904	-1.45712	5.85998	36.4635	5.93377	13.9668	-91.2223
1446	6	-59.7929	275.965	19064.6	-0.201678	-0.778073	4.02368	16.836	3.99888	11.2969	-104.531
1446	1	-180.68	-34.4881	19379.1	-0.0195205	-0.0195323	0.0670755	0.00526168	0.0725375	22.3766	-134.983
1446	1	-25.0934	-65.6477	19312.6	-0.00530468	-0.0316409	0.114543	0.0141494	0.118951	15.6471	-99.5173
1446	1	85.8191	59.0454	19218.1	-0.00263007	-0.00442718	0.0560189	0.00316464	0.0562551	5.2521	-120.713
1446	6	332.825	-166.664	19413.8	0.0285818	-0.486921	1.8328	3.59705	1.79387	14.9026	-86.6406
1450	5	75.4475	955.245	59744.6	0.75574	0.513901	1.15485	2.16892	1.37085	38.357	34.2156
1450	2	-199.188	727.204	59262.4	0.0458349	-0.00725368	0.174511	0.0326074	0.180065	14.8913	-8.99285
1450	13	-313.304	1226.3	61447.9	0.129148	0.518363	0.658121	0.718503	0.325854	39.0669	76.0098
1452	5	-284.609	-1249.45	44242.7	-0.0913861	-0.305453	1.08867	1.28687	1.03365	16.3233	-106.656
1455	3	-3230.62	778.723	67447.6	-0.262466	-0.0369598	0.428928	0.254234	0.503705	31.714	-171.984
1455	5	-713.665	-1699.36	67741.6	-0.117851	-0.194805	0.450231	0.254545	0.409811	26.8255	-121.173
1460	5	301.024	-72.3007	58617.3	-0.665996	-1.24037	3.32238	13.0203	3.50425	22.9648	-118.233
1465	6	-3532.9	4028.21	51688	-0.193123	0.0962656	0.463094	0.26102	0.416053	24.9839	153.505
1466	5	-35.2371	-823.749	34295.9	-0.34199	0.297543	2.55394	6.72809	2.49035	10.0648	138.976
1468	5	482.11	-1881.41	61910	-0.0360974	0.108073	2.02705	4.12192	1.92734	3.21724	108.47
1471	6	-1774.24	665.859	72537.1	0.0392036	-0.0895906	1.10579	1.23234	1.00947	5.0539	-66.3665
1473	5	-463.929	-1899.9	127329	-0.644035	-0.451168	1.69489	3.49099	1.76575	24.8889	-144.988
1475	5	1524.72	-3260.02	92447.4	0.627568	0.328607	2.39789	6.25169	2.39691	16.4584	27.6375
1476	6	-1430.78	-736.272	41443.2	-0.0900895	-0.32949	1.23474	1.64127	1.17981	15.4638	-105.292
1477	6	194.933	-610.252	19062.7	0.195533	-0.0168947	1.42556	2.07075	1.33722	7.83882	-4.93826
1479	5	100.327	-234.792	58865.4	-0.0153942	-0.0637307	1.23264	1.52369	1.13323	3.04468	-103.58
1479	5	84.4584	-931.715	59185.4	-0.0171106	-0.0883963	0.517578	0.275993	0.430212	9.86834	-100.955
1479	5	-832.03	224.588	59329.7	-0.0160539	0.0119037	0.405822	0.165091	0.314168	2.81939	143.444
1479	6	-151.555	655.546	58952.8	-0.0529066	0.159768	1.25293	1.59817	1.16293	7.65044	108.322
1480	5	3492.45	3746.21	89562.3	0.805264	-0.437353	1.87115	4.34094	1.98051	26.0926	-28.5072
1481	6	-707.757	-501.209	68480.4	-0.139996	0.323553	0.726012	0.651379	0.708309	25.9006	113.397
1482	6	3762.61	2623.97	98434.2	0.170646	0.295568	1.42357	2.14303	1.36206	13.4819	60
1486	5	-339.809	-223.48	31015	0.298968	-0.229071	0.864673	0.889514	0.843382	23.5371	-37.4596
1486	1	-849.056	-1002.45	31463	0.0171671	-0.0623277	0.136552	0.0228259	0.151082	25.3346	-74.6007
1486	3	-848.876	-1002.79	31463.6	0.0915015	-0.324231	0.694907	0.596394	0.771754	25.8644	-74.2403
1486	1	-24.2431	-11.447	31105.9	0.0673207	-0.046267	0.180172	0.0391348	0.197825	24.3886	-34.4993
1486	1	-19.7875	-7.43761	31107.8	0.0238547	-0.0158861	0.0624285	0.00471873	0.068693	24.6594	-33.6616
1486	1	-33.7036	4.2714	31084.5	0.024653	-0.014752	0.0733443	0.00620478	0.0787704	21.3907	-30.8958
1486	1	-43.4251	-24.0703	31102.5	0.0199303	-0.0141038	0.0450193	0.00262287	0.051214	28.4728	-35.2855
1486	1	-66.5152	-7.27266	31056.4	0.0212785	-0.0160863	0.0622246	0.00458345	0.0677012	23.2041	-37.0888
1486	1	-63.5233	-9.37198	31061.3	0.0183506	-0.0131192	0.0514568	0.00315666	0.0561842	23.6719	-35.5618
1486	1	-64.5008	-11.5376	31062	0.0230321	-0.017222	0.0652616	0.00508615	0.0713173	23.7817	-36.7869
1486	1	-33.2153	-0.133293	31088.5	0.0426019	-0.0241684	0.111169	0.0147577	0.121481	23.7777	-29.5666
1486	1	-6.60146	13.8011	31112.2	0.0310138	-0.0184548	0.0653211	0.00556928	0.0746276	28.9202	-30.7548
1493	5	108.018	269.175	41025.7	4.17604	1.05381	8.99492	99.4584	9.86778	25.5861	14.1628
1493	6	-765.425	-705.279	39832	0.684788	-0.044037	1.83801	3.84914	1.85911	20.4727	-3.67948
1493	6	-344.077	692.066	40719.9	0.4651	0.186304	1.22462	1.75073	1.2217	22.2508	21.8295
1493	3	-593.357	86.9956	40412.4	0.0151568	-0.00325469	0.0523312	0.00297888	0.0540705	16.5011	-12.1193
1493	3	-590.487	93.3555	40413.9	0.0337663	-0.00488039	0.134246	0.0191859	0.138003	14.2592	-8.22427
1493	13	397.349	2422.03	48913.6	0.427217	0.545393	0.747018	1.038	0.446359	42.8434	51.9277
1496	3	-2055.93	-1254.36	40482.2	-0.0402064	-0.0175341	0.0714667	0.00703149	0.0833445	31.54	-156.438
1496	14	281.818	-296.6	37202.4	-0.481456	0.0621802	2.95738	8.98174	2.20213	9.322	172.641
1503	5	1850.42	2837.99	129407	0.135483	0.047636	0.407189	0.186428	0.338855	19.4274	19.3718
1503	6	-233.665	-758.537	126481	0.205514	0.373584	4.75601	22.8014	4.67059	5.12293	61.1841
1503	5	2657.18	-565.854	127805	0.505154	0.135189	2.48821	6.46463	2.4391	11.8688	14.9824
1503	6	1312.61	-1447.07	127128	0.222488	-0.0844519	1.15867	1.39915	1.08191	11.6064	-20.7858
1507	6	152.492	1101.98	51152.5	0.745004	0.117514	3.41907	12.2589	3.3972	12.4397	8.96373
1507	6	1561.44	1827.84	52391	0.78162	0.281929	2.69194	7.93698	2.71359	17.1537	19.8343
1507	5	-913.56	-742.086	50882	0.0884333	-0.183911	1.16529	1.39955	1.08208	9.93299	-64.3195
1516	5	474.343	-1097.78	96237.4	0.11183	-1.2049	2.57064	8.07246	2.73751	25.2077	-84.6974
1517	5	252.183	-2385.15	52614	-0.653819	-0.0652171	1.54225	2.81027	1.57405	23.076	-174.304
1518	5	1049.27	51.9106	42382	0.742682	-0.0700971	2.16853	5.25902	2.19003	18.9834	-5.39182
1521	6	2166.85	-84.6392	85117.6	0.125929	0.297354	0.633142	0.505146	0.612889	27.0229	67.0474
1526	13	1852.52	640.034	70211.5	0.412149	-0.625726	0.338519	0.675995	0.308945	65.6865	-56.6282
1534	6	-1273.76	4213.3	86538.4	-0.0473335	-0.178197	1.4812	2.22794	1.3907	7.09555	-104.876
1535	5	74.2048	-898.822	21983	-0.347677	-0.657501	1.43332	2.60758	1.5126	27.4253	-117.869
1535	6	163.579	519.25	20467.9	-0.253413	-0.230063	1.23809	1.65003	1.18321	15.4533	-137.765
1536	5	-2030.88	-1705.63	80565	0.906401	2.03636	6.78284	50.9753	7.03482	18.1915	66.0058
1537	6	-2359.18	1586.37	48768	-0.176956	-0.11321	0.5368	0.332284	0.480386	21.3724	-147.39
1541	6	1329.59	1313.93	125634	-0.376045	-0.909476	2.72731	8.40677	2.79571	19.842	-112.464
1548	5	605.334	-154.55	42756.2	1.54257	1.50297	9.24703	90.146	9.38945	13.1109	44.2551
1551	5	378.356	450.697	41873.2	0.249188	-1.46038	4.68479	24.142	4.80893	17.5487	-80.3167
1551	6	113.363	-24.1808	42342.8	0.106113	-4.42908	12.9453	187.209	13.5772	18.8928	-88.6276
1551	5	-805.186	505.373	41914	-0.145466	-0.538293	1.59044	2.84041	1.583	19.3205	-105.122
1551	6	-724.227	255.953	42106.2	-0.595872	-3.05874	9.37431	97.5887	9.77361	18.388	-101.024
1554	5	3237.75	1339.5	63801.5	0.412681	-0.186888	0.90584	1.02578	0.912646	26.5704	-24.364
1556	6	-209.53	-740.284	44525.1	-0.122599	0.96155	3.11537	10.6451	3.15874	17.2833	97.2661
1559	6	-722.481	1189.05	71042.8	-1.02959	-0.2069	2.26066	6.21346	2.38926	24.9168	-168.638
1562	6	-148.055	618.562	53567.4	-0.383227	0.366282	1.14191	1.585	1.15773	24.9024	136.295
1565	5	-2325.84	-6769.58	145436	0.0138718	-0.150226	1.6006	2.58469	1.50551	5.38451	-84.7243
1566	5	-1374.16	2111.89	127147	-0.249389	-0.000326072	0.886878	0.848747	0.821656	15.7059	-179.925
1566	13	-801.355	1723.43	129296	0.41708	-0.375346	0.704044	0.810518	0.361704	38.554	-41.9852
1568	5	419.33	3014.02	35489	0.196143	-0.0191504	0.65482	0.467628	0.586289	16.7498	-5.5764
1568	5	-1391.26	-2656.75	39763.9	0.0604008	-0.272222	0.36276	0.209348	0.363928	37.5484	-77.4898
1575	1	-24.1154	115.264	53801.8	0.0439698	0.00311676	0.0452626	0.00399176	0.0631804	44.2417	4.05459
1575	13	-1076.5	-1312.43	56911.2	0.161991	-0.458012	0.752015	0.801543	0.358251	32.8632	-70.5222
1578	5	904.404	-3856.12	194192	-1.49988	-0.838717	3.78346	17.2677	4.05112	24.4276	-150.787
1579	1	55.9857	-342.077	43847.9	0.0208221	0.00753272	0.178102	0.0322106	0.179473	7.08703	19.8883
1579	1	72.9322	-345.423	43854.2	0.00668616	0.00214836	0.0530875	0.0028676	0.05355	7.53578	17.813
1579	1	274.005	-476.482	43988.3	0.030769	-0.00505046	0.115192	0.0142415	0.119338	15.1461	-9.32146
1579	1	-17.288	-282.112	43833.2	0.0178622	0.0127781	0.192439	0.0375151	0.193688	6.51074	35.5788
1579	6	434.598	1447.18	44873.7	0.0714837	0.123394	0.490302	0.260732	0.415778	16.2171	59.9157
1584	5	-1438.87	1931.77	64615.1	-0.417009	0.337967	1.02637	1.34156	1.05741	27.6084	140.977
1587	5	798.086	887.629	42836.7	0.0151043	0.286524	0.92418	0.936433	0.867787	17.2475	86.9824
1604	1	505.687	250.16	47181.2	0.0105688	0.0220825	0.0476066	0.00286573	0.0535325	27.2142	64.424
1604	2	206.146	-3.29574	46824.3	-0.00854889	0.0221819	0.0471628	0.00278944	0.0523067	26.7502	111.077
1605	5	-76.7015	114.294	141288	0.805869	0.40199	2.64594	7.81204	2.69134	18.7964	26.5113
1610	5	3469.94	959.968	91903.9	0.416077	0.0542237	0.495135	0.421219	0.5519	40.2792	7.42501
1612	5	2039.75	-1225.13	46268.9	0.0256435	-0.18513	0.782449	0.647158	0.705712	13.4341	-82.1138
1613	13	826.233	-2706.59	51144.5	0.734142	-0.187666	0.613547	0.950623	0.414468	51.003	-14.3393
1614	5	-109.894	86.4165	76535.8	0.886041	0.115385	2.43009	6.70371	2.48565	20.188	7.41961
1619	6	1901.7	1063.09	85901.3	0.632309	-1.2876	3.48024	14.1698	3.6601	22.4004	-63.8455
1620	5	672.737	-709.719	64098.4	-0.101529	-0.128842	1.50758	2.29972	1.4145	6.20983	-128.238
1623	1	-597.189	586.162	43840.6	-0.042073	-0.01831	0.103992	0.0129196	0.113665	23.8087	-156.482
1623	1	-643.629	575.463	43906.3	-0.0659593	-0.0267291	0.147949	0.0269539	0.164176	25.6894	-157.94
1623	1	-628.282	585.678	43880.7	-0.0256111	-0.010105	0.0600803	0.00436768	0.0660885	24.6202	-158.468
1623	1	-651.904	562.178	43926.5	-0.0329728	-0.0158582	0.0691047	0.00611415	0.078193	27.8993	-154.315
1626	6	-751.744	-1783.72	61710.4	-0.590919	-0.630338	1.90475	4.3746	1.98856	24.3993	-133.151
1627	14	813.559	316.318	48446	-0.254826	-0.126533	0.79905	0.719428	0.326553	19.5989	-153.593
1628	5	138.308	44.437	114560	-0.0229114	-0.0819087	0.970566	0.949232	0.874339	5.00816	-105.627
1632	1	-334.606	-474.965	35596.1	-0.0205072	-0.00398162	0.087689	0.00812576	0.090143	13.3998	-169.012
1632	6	-382.733	224.813	35661.7	-0.978782	0.23092	3.81787	15.5875	3.84386	14.7569	166.725
1632	2	-539.454	-470.431	36278.4	-0.0336425	-0.0144963	0.0439051	0.00326962	0.0566719	39.8403	-156.689
1632	1	507.339	1317.23	36043.3	0.00808938	0.0204583	0.0651199	0.00472458	0.0687356	18.6666	68.4257
1632	1	21.6066	215.106	35380.5	-0.00824183	0.00402546	0.0707723	0.00509285	0.0713642	7.38458	153.968
1632	3	-24.9206	234.152	35411.1	-0.0126678	0.0109958	0.0741078	0.00577335	0.0754733	12.754	139.042
1632	1	1107.97	356.792	35462.1	0.00932661	0.00646267	0.0522316	0.00285689	0.0534499	12.2566	34.7192
1632	1	1097.26	390.921	35470.8	0.0351698	0.0282159	0.188284	0.0374837	0.193607	13.4673	38.7392
1632	5	210.735	-3.02818	35387.3	-0.0670292	-0.00628919	0.54017	0.296316	0.44885	7.10438	-174.64
1632	1	98.0561	350.295	35407.9	-0.055799	0.048619	0.360958	0.135768	0.368467	11.5871	138.934
1632	1	141.716	265.661	35383.8	-0.0137174	0.00346158	0.110295	0.0123651	0.111199	7.30935	165.837
1633	6	236.54	-125.888	41727.9	-0.674236	-0.146667	2.32719	5.89194	2.32397	16.5149	-167.728
1634	13	-1006.19	-872.263	30332.9	0.671905	-1.35516	3.01242	11.3626	2.55978	26.6619	-63.6272
1634	1	-577.243	-312.644	29549.5	0.0531787	-0.0443164	0.156826	0.0293862	0.171424	23.8169	-39.8061
1634	6	-967.006	-83.7078	29108.5	0.15325	-0.126365	0.578121	0.373677	0.514697	18.9616	-39.5079
1639	5	681.434	-1757.58	95375.3	0.308699	-0.393111	2.0017	4.25665	1.96021	14.0202	-51.8585
1641	14	-1107.06	-2290.07	28997.8	-0.501063	-0.124104	0.885679	1.05089	0.451422	30.2351	-166.089
1643	3	-726.6	567.007	36866.8	0.01124	0.0268967	0.0697609	0.00571636	0.0750973	22.6785	67.3201
1643	1	-722.74	608.801	36904.1	0.0120168	0.0299224	0.0807107	0.00755397	0.0869136	21.7775	68.1197
1651	13	340.646	-594.418	89025.7	0.233689	0.162276	1.50273	2.33913	0.855403	10.7207	34.7764
1654	5	-68.3917	-242.996	44749.5	-1.55236	-0.547327	5.81782	36.5564	5.94145	15.7977	-160.579
1654	5	-849.491	419.823	45403.9	-0.84163	-0.116619	2.45236	6.73603	2.49188	19.1097	-172.111
1654	6	-422.142	1467.21	45241.4	-0.176306	0.109929	0.553865	0.349934	0.495256	20.5624	148.056
1654	6	-212.885	843.63	44871.2	-0.286552	0.0683662	0.965674	1.01931	0.909465	16.9652	166.581
1654	1	972.94	-1457.97	44719.6	-0.0135776	-0.0204293	0.0837545	0.00761653	0.0872727	16.3241	-123.609
1654	2	973.254	-1456.76	44718.6	-0.0297718	-0.0475387	0.203983	0.0447553	0.211044	15.3753	-122.057
1655	5	-2621.85	543.841	63064	-0.623533	0.240899	1.15085	1.77128	1.22943	30.1493	158.876
1655	1	4208.49	-2544.88	59432.9	0.0341151	0.0094487	0.23097	0.0546004	0.233667	8.71357	15.4809
1659	5	1470.54	-2318.7	52042.5	-0.120439	-0.406501	1.2046	1.63081	1.17574	19.3899	-106.504
1661	5	-950.276	-363.937	89225	0.054165	-0.0620601	0.695739	0.490838	0.602863	6.75218	-48.8861
1662	6	-2883.77	1563.93	63338	-1.55075	0.800265	2.54217	9.50787	2.97963	34.4675	152.704
1665	5	374.676	-754.105	48830.6	-0.0473013	-0.586379	1.35303	2.17677	1.37351	23.4989	-94.6119
1666	6	725.237	25.9909	73298.1	0.155961	0.134077	1.48823	2.25714	1.40043	7.86834	40.6851
1676	5	-699.72	-1291.64	61440	-0.0138678	-0.0393497	0.964	0.931037	0.865012	2.47821	-109.414
1678	5	574.197	-2236.81	138553	0.198185	-0.232125	0.778235	0.698809	0.73694	21.4149	-49.5098
1681	5	-254.448	-971.947	27407.2	-0.269365	-0.679481	2.76384	8.17304	2.75515	14.8133	-111.625
1681	5	967.24	-1188.09	27552.1	0.0646344	-0.304329	0.892308	0.893007	0.84522	19.2219	-78.0095
1681	6	-195.677	1295.34	26823.4	-0.138343	0.135993	1.5713	2.50662	1.4811	7.03808	135.491
1683	5	-16.2057	2724.56	62605.2	0.462719	0.00937025	4.53055	20.7401	4.4497	5.83276	1.1601
1683	6	-526.991	-1511.1	64055.5	0.0312061	-0.174769	0.756977	0.604532	0.679005	13.199	-79.8762
1683	6	831.493	3354.19	63098.7	0.199253	0.115347	1.34882	1.87233	1.26675	9.68648	30.0664
1687	5	-315.905	-984.016	101342	1.48878	-0.248848	3.37451	13.6657	3.59257	24.0993	-9.48916
1694	6	78.4541	863.263	60190.1	-0.0586565	-0.928622	4.89635	24.84	4.87944	10.7598	-93.6143
1698	5	-457.502	278.403	79746.8	-0.0121178	-0.000953656	2.1732	4.72294	2.07014	0.320467	-175.5
1698	6	-2098.32	-3884.33	82979.3	-0.100998	-0.261919	0.749151	0.640029	0.701307	20.5417	-111.087
1698	1	-771.213	-975.365	80016.5	-0.00435931	-0.0063798	0.0539925	0.00297489	0.0545426	8.14437	-124.345
1708	5	975.545	-1587.46	76379.9	0.211699	0.00805499	0.549106	0.346398	0.492307	21.0973	2.17901
1709	5	2215.77	627.459	73983.2	-0.191401	0.0756226	0.679905	0.504624	0.612525	16.8404	158.441
1711	6	-65.1505	-391.686	33747.9	3.94849	3.96019	15.0937	259.095	15.9911	20.3298	45.0848
1712	5	-2.27507	1837.12	91508.2	0.380137	-0.320883	1.89196	3.82698	1.85346	14.7316	-40.1686
1713	1	-146.081	-787.063	38015.7	0.00257919	0.0127102	0.110186	0.0123092	0.110947	6.71301	78.5292
1713	2	-188.872	-632.605	38095	0.00474949	0.0290937	0.112095	0.0134343	0.115396	14.7341	80.7284
1713	1	-230.071	-626.395	38098.6	-0.00367895	0.0237388	0.117754	0.014443	0.120179	11.5303	98.8094
1713	1	-270.741	-594.639	38132.5	-0.00573006	0.0130368	0.0487736	0.00258165	0.05081	16.2763	113.727
1713	1	-235.674	-620.214	38103.8	-0.00229027	0.0391182	0.157117	0.0262213	0.16193	14.0039	93.3507
1713	2	-232.404	-626.962	38098.8	-0.000956899	0.0165291	0.12938	0.0170134	0.129926	7.29247	93.3133
1716	6	324.188	-152.935	35192.5	-0.335839	1.46345	4.37	21.3514	4.5163	18.9622	102.925
1718	1	3225.39	-183.093	49166.8	0.0608634	-0.0110185	0.07686	0.00973322	0.0986571	38.8252	-10.2615
1718	5	4.78456	2360.88	44310.5	1.40315	0.384669	4.35928	21.1201	4.49122	18.4566	15.3308
1720	5	139.431	301.588	24156.8	-0.236616	0.0247304	0.549137	0.35815	0.502053	23.4239	174.033
1720	5	-86.5811	-151.126	24124.4	-1.09766	0.15425	2.42338	7.10144	2.56129	24.5792	172.001
1720	5	-602.471	-465.403	25237.4	-0.36732	-0.0871758	0.539283	0.43335	0.56106	34.9938	-166.649
1720	1	212.517	663.041	24269.1	-0.0598467	0.0541032	0.161304	0.0325279	0.180355	26.5721	137.885
1720	1	508.27	749.041	24466.3	-0.018486	0.0797946	0.154254	0.0305033	0.174652	27.968	103.044
1720	14	129.242	147.498	24837.6	-0.555555	0.0818819	1.34058	2.1125	0.791715	22.7284	171.616
1721	5	167.436	215.641	74630.7	-2.46338	2.00884	10.3075	116.348	10.6813	17.1388	140.804
1721	1	-189.678	-1863.4	74505.1	-0.0286067	-0.000829924	0.102147	0.0112531	0.106081	15.6513	-178.338
1721	1	-119.028	-1171.74	74375.9	-0.0190728	0.00268792	0.0646715	0.0045534	0.0674789	16.5853	171.978
1721	5	135.294	-799.864	74740.2	-0.104538	-0.0740897	0.415213	0.18882	0.341537	17.1497	-144.674
1722	5	-1190.56	98.2433	68012.4	2.66759	-0.0616188	6.60404	50.7332	7.01785	22.0007	-1.32324
1724	5	-404.557	885.723	46407.2	-1.04515	0.387896	4.05049	17.6492	4.09677	15.3885	159.638
1725	6	782.105	-269.886	55327.6	0.504226	-0.781404	3.47486	12.9395	3.49304	14.9828	-57.1666
1725	5	-218.68	-306.361	55026.7	0.291867	-1.24044	4.23464	19.5561	4.31783	16.7479	-76.7595
1725	3	-238.291	-305.298	55038.6	0.00479661	-0.0276793	0.0838636	0.00782225	0.087934	18.5193	-80.1687
1725	1	217.977	-484.735	55376.7	0.0117942	-0.0226288	0.0641367	0.00476468	0.0690266	21.696	-62.4712
1725	1	124.113	-478.904	55332.8	0.00556624	-0.0287017	0.0829892	0.00774198	0.0879885	19.407	-79.0246
1725	1	109.32	-314.732	55165.5	0.0174519	-0.0301547	0.111629	0.013675	0.11694	17.3337	-59.9401
1725	1	214.807	-487.84	55389.5	0.0123042	-0.0207455	0.0626561	0.00450756	0.0671384	21.0546	-59.3277
1725	1	191.843	-80.23	55177.9	0.0475528	-0.00722758	0.129227	0.0190131	0.137888	20.4155	-8.64229
1725	2	-469.653	-144.352	54863.8	-0.0161047	-0.0850532	0.352684	0.13188	0.362642	13.7903	-100.722
1725	1	-468.747	-146.268	54865.2	-0.000250597	-0.0432897	0.176762	0.0331188	0.181986	13.7614	-90.3317
1725	3	-468.752	-146.3	54865.2	-0.00148961	-0.250046	1.00119	1.0649	1.03143	14.023	-90.3413
1725	6	-508.283	126.016	54749.8	0.00343369	-0.172905	0.765451	0.615823	0.686167	12.7311	-88.8623
1725	5	41.9753	-178.533	54969.3	1.19952	-3.16967	13.4585	192.617	13.7734	14.134	-69.2715
1727	6	-301.408	-169.539	60359.1	-0.105274	0.454323	1.5694	2.68052	1.53498	16.5497	103.046
1729	3	1181.33	1077	49677.4	-0.0505132	0.0453459	0.119183	0.0188124	0.136648	29.6638	138.086
1731	6	1091.24	-970.93	41339.3	0.083031	-0.559047	1.14542	1.63141	1.17597	26.263	-81.5521
1734	6	-396.739	163.086	18848.4	-1.86026	1.79221	6.09288	43.7957	6.51302	22.975	136.067
1734	5	-430.319	962.612	19870.3	-0.332353	0.491614	1.00206	1.35627	1.06372	30.6338	124.06
1736	5	145.083	111.76	55382.2	-1.2729	10.0139	23.0149	631.584	25.0259	23.6827	97.2442
1744	6	2357.89	-709.326	65169.9	0.286404	0.00530135	0.440702	0.276274	0.430474	33.0236	1.06043
1748	1	-773.045	570.572	35004	-0.0102878	0.0515703	0.127914	0.0191274	0.138302	22.3479	101.282
1752	5	300.244	-1277.03	50326.3	-0.0731445	-0.278455	0.635132	0.48628	0.599638	24.3845	-104.718
1752	6	-523.989	434.107	49553.3	-0.850148	-0.437176	3.68166	14.4685	3.69956	14.5558	-152.786
1755	5	-272.882	-3119.22	70293.3	-0.535902	-1.70671	1.86245	6.66876	2.4789	43.8457	-107.432
1755	5	-114.861	511.272	64571.2	-0.437337	-0.550648	1.59601	3.04171	1.64159	23.778	-128.457
1755	13	-173.279	542.885	65708.5	-0.549893	-0.920895	1.62535	3.79219	1.2226	33.4212	-120.843
1755	13	1293.44	1405.51	67805.6	0.474834	-0.0124859	0.703299	0.720252	0.326545	34.0345	-1.50626
1761	5	-558.109	221.77	54010.8	-1.72901	-0.747473	4.91277	27.6835	5.15691	20.978	-156.621
1762	5	-1779.78	-470.67	57420.5	-0.939194	1.65705	4.10252	20.4586	4.41869	24.9044	119.544
1762	6	532.558	615.681	57672.2	-0.295008	1.93803	3.58792	16.7162	3.98425	28.6511	98.6552
1762	6	1680.94	-595.209	56013.7	0.0697931	0.456701	1.03504	1.28475	1.03272	24.0542	81.3113
1767	5	-1450.32	-2698.93	72946	-1.99085	-0.257457	5.62924	35.7181	5.87173	19.6266	-172.631
1767	6	1421.16	135.512	71078.1	-0.13297	0.203129	1.10741	1.2853	1.03296	12.3655	123.209
1767	6	-35.2122	208.051	72133.3	-0.910484	0.503956	3.24143	11.5898	3.30037	17.799	151.035
1767	1	-405.75	92.7871	72467.7	-0.0420544	0.0144504	0.114712	0.0151363	0.12303	21.1886	161.037
1769	6	554.832	691.107	41094.2	2.47866	1.17736	6.02653	43.849	6.51705	24.4813	25.4077
