N. Shower	Energy (GeV)	Zfirst (km)	Theta (°)	Phi (°)	N. Particles
1	1487.37	14.7681	5.7478	-147.338	445
2	1045.3	17.4556	17.6959	-53.831	69
3	1276.75	23.3396	10.9722	45.9374	40
4	1080.92	17.2345	23.3958	28.3721	49
5	1052.74	14.8684	22.4854	24.0341	19
6	1230.54	26.5792	19.0552	-11.2891	30
7	1120.99	13.3792	19.8788	-141.933	68
8	1249.56	24.7501	21.8432	-179.482	32
9	1030.83	21.3647	15.3425	70.3005	87
10	1393.41	27.0129	19.0237	-90.6928	119
11	1154.27	17.7586	22.3592	-155.123	34
12	1354.39	12.3044	12.4007	-40.8126	87
13	1386.61	18.5726	24.1025	10.135	34
14	1184.03	22.9973	12.6479	142.84	88
15	1134.17	17.428	21.5918	124.159	27
16	1444.15	19.3526	15.2983	-45.3564	31
17	1489.72	21.427	23.8705	10.2089	54
18	1237.27	21.8854	16.9493	-57.7831	87
19	1031.55	18.7332	8.71546	-14.3098	42
20	1069.4	13.1918	3.40472	171.465	94
21	1080.38	17.8922	21.9582	32.5136	159
22	1490.1	11.9262	16.1381	-31.625	76
23	1172.24	32.111	24.3656	7.00316	40
24	1030.96	13.2055	11.4706	77.9555	48
25	1014.28	12.1508	15.837	150.292	74
26	1238.24	26.9881	22.4832	-87.096	27
27	1259.55	29.0238	6.51498	-159.066	38
28	1053.25	17.393	24.579	31.0767	32
29	1101.77	22.2714	25.5584	-56.9732	44
30	1382.07	25.9216	13.8404	-49.6714	90
31	1232.26	20.2336	17.096	-139.789	42
32	1450.62	34.6384	13.9477	179.032	27
33	1089.66	19.5662	12.7893	-175.782	17
34	1023.66	27.0687	9.80715	-64.0733	25
35	1116.97	17.9221	20.4504	146.865	523
36	1126.04	29.8569	22.8205	71.7361	42
37	1129.46	25.2957	1.55902	154.688	27
38	1007.4	20.3753	15.7699	-164.142	22
39	1239.43	40.3247	12.0508	-130.017	124
40	1378.59	23.5873	17.4467	-17.4233	65
41	1023.68	13.9748	5.02876	31.4673	180
42	1080.26	16.8957	9.9262	-175.122	36
43	1390.98	18.4182	18.9373	31.9451	37
44	1021.56	16.1122	18.1218	-163.179	48
45	1257.35	23.0685	16.7249	-93.1636	45
46	1371.48	20.5608	23.9618	-93.5622	57
47	1121.78	13.7158	22.4473	-30.5539	49
48	1108.6	27.1871	25.2274	152.441	80
49	1452.7	16.7689	13.608	137.272	52
50	1002.22	18.1139	21.0612	3.50665	24
51	1034.75	21.0898	24.6781	147.475	105
52	1351.51	13.4407	14.855	-93.906	137
53	1213.02	23.2563	24.3003	140.684	35
54	1415.43	20.5651	7.85636	61.8063	59
55	1027.28	29.9141	20.0608	-146.254	23
56	1262.62	27.7264	12.4016	-10.1119	65
57	1387.9	17.0317	21.3125	-131.473	51
58	1094.4	21.1797	18.3497	-156.783	46
59	1023.46	16.0422	10.6564	-1.33792	87
60	1243.57	32.4673	7.06418	78.2701	76
61	1199.12	30.717	17.7433	-0.490904	82
62	1456.55	15.4981	7.25346	178.182	75
63	1253.76	12.0759	14.4311	-117.382	83
64	1055.02	17.3265	18.6749	-122.872	47
65	1438.12	26.2441	18.9471	-57.9512	44
66	1168.37	22.698	23.2218	-173.886	28
67	1105.86	6.28645	7.95135	76.0155	531
68	1106.33	11.4912	24.1057	-165.937	62
69	1250.26	21.2932	17.2763	-100.087	155
70	1387.3	21.6796	7.37719	-7.01395	98
71	1241.4	11.9286	21.1593	132.725	87
72	1188.35	35.833	20.4695	-28.0167	56
73	1495.89	15.2491	18.1235	74.863	49
74	1225.62	12.4078	5.48124	-51.187	170
75	1147.48	22.7202	22.4441	140.601	24
76	1208.31	19.0246	17.3196	94.9186	36
77	1324.04	30.5071	9.38202	45.8697	38
78	1275.47	13.2586	25.5295	131.108	328
79	1391.69	21.27	12.9988	-153.123	45
80	1013.77	26.3669	24.0781	-121.424	18
81	1086.35	17.7243	19.1708	-113.611	95
82	1422.87	21.8537	10.587	-28.9114	45
83	1204.49	23.5588	17.8713	-70.0855	38
84	1478.06	20.7249	11.8506	67.0791	165
85	1072.19	16.5695	25.4233	168.549	31
86	1185.47	11.4731	21.5122	161.716	215
87	1184.04	37.9859	23.2615	-145.255	31
88	1024.45	18.7586	24.0428	80.9458	34
89	1421.7	27.1416	5.79813	-119.843	47
90	1252.09	12.0968	19.8491	109.752	109
91	1429.06	13.1461	20.9004	59.0453	85
92	1491.87	16.5573	9.48588	88.9825	143
93	1417.94	10.9703	6.62506	-102.207	147
94	1235.52	25.2346	14.9739	55.761	34
95	1301.41	33.6903	25.0955	-16.3742	23
