N. Shower	Energy (GeV)	Zfirst (km)	Theta (°)	Phi (°)	N. Particles
96	1298.92	23.5895	13.4117	-169.69	174
97	1340.48	22.2266	23.2331	-28.9289	44
98	1051.61	24.8348	21.7652	-131.679	36
99	1127.16	27.9321	18.7174	-59.0821	80
100	1261.73	16.704	18.7605	9.69455	40
101	1311.84	22.6541	5.18413	107.032	79
102	1007.34	22.677	15.2939	168.401	44
103	1384.7	26.5551	5.26293	124.916	46
104	1040.63	21.6103	20.2499	-96.6077	46
105	1336.23	17.3287	18.7375	-140.99	125
106	1193.01	30.8156	13.2414	3.87885	49
107	1184.18	22.0633	25.6796	102.329	417
108	1216.57	25.3512	12.7439	123.981	65
109	1123.2	25.7407	9.62341	112.201	26
110	1028.71	15.7007	25.7865	-137.107	45
111	1204.57	16.3515	15.4826	-9.94588	36
112	1093.99	49.2024	24.5953	57.6358	19
113	1156.45	16.2936	11.3782	-32.1701	60
114	1412.24	14.7573	18.2055	114.019	33
115	1116.09	25.9137	21.9577	-15.6913	110
116	1062.31	30.2558	10.1702	38.3899	59
117	1081.82	30.8919	17.1822	62.5791	43
118	1212.76	21.4737	17.0318	174.212	36
119	1230.38	11.6031	11.203	-63.3047	95
120	1245.76	13.9067	24.3071	73.2075	53
121	1156.63	53.8199	24.8333	39.3225	16
122	1028.44	34.7172	14.2642	-70.6609	22
123	1252.76	11.5828	8.85343	0.0903951	198
124	1161.05	12.8624	14.9615	-173.126	113
125	1379.2	20.7705	15.8097	-167.913	94
126	1184.56	21.6607	20.8888	-76.5829	45
127	1079.78	31.3796	18.1565	-8.58072	31
128	1440.75	37.6954	13.6287	1.9717	34
129	1049.37	21.3825	4.10983	-96.1675	33
130	1439.77	48.6535	12.186	16.8581	155
131	1288.16	18.0583	9.9611	7.39342	97
132	1131.56	22.3108	9.65867	51.9738	57
133	1071.42	19.8358	19.1162	138.638	109
134	1252.18	25.2118	14.7994	-141.084	19
135	1325.27	17.0813	7.47073	-95.831	62
136	1130.35	28.9442	15.1033	-129.573	45
137	1079.27	14.7596	21.3698	13.4391	68
138	1413.08	16.1168	22.3054	37.9485	44
139	1005.41	27.0459	8.99811	96.9199	224
140	1098.56	19.0522	1.21232	115.575	28
141	1144.03	26.3041	20.0764	-33.1325	42
142	1157.61	16.8838	14.3076	112.565	99
143	1097.87	16.95	20.7548	-133.139	20
144	1227.32	20.8852	21.1346	37.3529	36
145	1160.89	5.6366	13.2019	-130.295	914
146	1204.75	15.6685	17.5389	-164.355	76
147	1188.93	27.5349	19.2593	-106.636	69
148	1228.02	27.2287	11.4635	-154.659	502
149	1032.12	16.2001	20.9718	86.6036	19
150	1116.4	26.6096	24.1826	175.963	34
151	1184.43	19.6272	12.2285	102.9	31
152	1175.96	24.0238	20.6038	19.3249	60
153	1130.33	19.2243	18.3144	106.811	58
154	1363.36	17.396	11.6123	-15.124	58
155	1480.99	33.4402	7.41744	62.4188	250
156	1035.35	12.0038	17.1797	13.1209	148
157	1233.04	54.2054	16.8683	-130.212	26
158	1450.27	11.7094	7.26701	-87.9766	564
159	1035.32	14.8593	16.4527	16.5546	32
160	1109.16	26.762	21.569	-54.3498	37
161	1353.42	23.4726	17.3059	-13.843	32
162	1007.83	12.5091	17.0217	-68.3741	73
163	1308.76	29.0488	20.0262	58.272	40
164	1396.71	15.6655	18.481	95.5388	75
165	1380.91	9.34394	23.9224	-45.8418	184
166	1345.75	15.3655	21.6362	-29.7686	135
167	1109.7	8.13083	21.0082	-30.3479	262
168	1039.66	13.5922	8.16872	-108.83	60
169	1050.61	10.6122	6.68573	-59.8011	345
170	1166.96	12.7987	25.1829	142.743	79
171	1280.23	16.5768	25.575	132.246	67
172	1012.09	21.7981	9.33147	-157.251	110
173	1053.62	29.5808	14.0995	56.5789	62
174	1130.57	9.36326	7.84886	143.348	217
175	1292.16	15.3992	6.98078	-70.8919	73
176	1077.66	22.6281	5.59398	-174.258	51
177	1207.61	12.246	24.1859	69.417	46
178	1245.33	16.9135	23.2019	-131.873	127
179	1085.83	20.5556	5.31996	-114.312	25
180	1034.34	13.2407	17.686	177.442	144
181	1057.03	35.9715	18.6604	146.359	30
182	1238.15	22.9574	12.8093	153.203	31
183	1380.66	22.3004	23.6034	126.958	38
184	1359.4	19.8129	19.5804	-82.1744	79
185	1234.29	30.8348	11.7925	-145.632	57
186	1376.01	18.2164	16.1452	55.4595	83
187	1050.47	28.1807	20.7735	-65.7796	43
188	1113.47	25.0355	23.5866	93.769	33
189	1230.3	12.3144	13.2925	111.909	35
190	1080.08	17.566	10.2755	37.2264	40
191	1082.61	19.3592	19.5917	-82.172	52
192	1344.91	31.9755	18.1113	-61.8892	171
193	1202.75	15.843	9.1104	-166.436	61
194	1036.56	33.8377	23.01	162.409	22
195	1358.47	24.507	17.9585	-12.232	263
196	1358.23	20.7764	14.4834	-166.987	136
197	1430.51	19.8358	21.3632	141.505	32
198	1145.26	19.2005	23.7372	-179.741	29
199	1190.93	14.4498	12.1007	38.5205	68
200	1491.3	24.9105	20.0187	-104.21	136
201	1042.07	23.0646	20.646	101.555	50
202	1242.31	13.0869	15.8811	-139.767	48
203	1415.08	18.0587	18.0145	62.7985	77
204	1163.68	24.0367	21.7237	107.128	36
205	1272.4	14.3216	10.6556	98.6478	51
206	1272.37	20.5146	17.2006	121.344	87
207	1052.9	23.921	22.1317	114.947	25
208	1248.54	13.0077	24.4669	-97.3989	262
209	1287.83	21.2182	12.4259	66.113	62
210	1043.88	40.1899	25.2746	156.66	14
211	1423.32	18.8269	8.88139	84.3751	40
212	1147.14	27.5841	24.7524	81.2356	130
213	1035.37	8.62364	24.1945	148.624	231
214	1120.78	14.1474	11.1815	-12.4175	68
215	1270.5	32.8845	14.7007	12.3968	42
216	1032.14	11.258	16.6479	-2.04075	48
217	1313.81	23.1803	24.2303	-128.246	56
218	1009.3	9.54795	12.5179	131.868	181
219	1027.86	18.4061	20.5362	86.0058	39
220	1316.3	26.2205	15.5804	61.3549	31
221	1072.54	21.0654	5.80939	-19.8154	31
222	1202.39	13.8803	22.983	162.509	48
223	1176.86	4.01181	3.31097	-109.778	992
224	1155.06	18.2187	24.0504	19.4712	218
225	1073.8	16.3446	13.7071	-99.5907	167
226	1004.99	14.5883	22.1469	-51.4776	47
227	1017.18	35.9951	10.3637	-92.5103	65
228	1069.31	22.9441	20.4395	149.955	24
229	1202.46	16.0997	23.8725	-50.1027	351
230	1135.34	21.3329	24.678	-2.85728	31
231	1404.54	15.1821	19.0772	-163.289	107
232	1375.83	23.3698	17.7105	100.761	45
233	1067.09	20.0684	22.4737	-132.406	26
234	1270.39	19.1103	19.1007	-147.478	57
235	1020.4	17.3135	3.46633	-143.31	29
236	1133.11	28.6623	13.8281	-152.637	43
237	1105.53	29.0255	22.1973	145.737	19
238	1216.6	27.7577	16.7352	136.326	339
239	1285.72	29.6462	24.744	-161.934	55
240	1404.13	25.3225	17.6425	-97.4027	21
241	1313.15	12.2415	18.9755	-155.635	410
242	1378.2	19.8681	18.9066	154.116	29
243	1148.69	16.5482	20.8319	59.9492	26
244	1062.43	24.0291	22.3721	50.4585	141
245	1304.36	22.5738	11.1613	-94.8388	67
246	1088.71	18.1251	20.7968	-48.9476	38
247	1073.5	50.128	20.0102	-130.142	24
248	1133.07	24.5224	25.0108	16.6714	21
249	1019.13	20.305	20.8528	-107.497	25
250	1453.96	30.8122	10.6595	-96.8965	45
251	1125.22	37.0391	17.8137	121.345	20
252	1070.65	19.3673	22.1533	-30.4393	38
253	1190.2	14.9957	12.2049	114.999	86
254	1124.39	35.3807	16.257	10.8087	30
255	1054.99	15.2114	24.5656	172.132	84
256	1122	36.2498	21.3747	-63.5902	29
257	1027.5	17.8409	7.0689	-110.828	74
258	1075.36	28.1879	25.2518	-117.482	38
259	1002.95	17.8788	13.4745	86.7028	37
260	1220.08	18.3159	25.7779	-160.091	71
261	1387.54	15.6867	11.3159	-80.3245	97
262	1165.83	16.3016	17.1907	143.135	56
263	1215.87	19.5686	21.8286	97.3687	30
264	1329.03	8.91965	11.7249	-13.3205	64
265	1310.2	16.678	14.8344	-22.831	35
266	1338.9	16.9647	11.8891	-169.47	53
267	1024.19	19.5225	20.5514	-89.3965	76
268	1432.88	17.2794	13.8023	49.1092	73
269	1146.75	38.2955	12.5107	115.007	38
270	1139.45	10.4579	21.7183	-78.6132	140
271	1113	18.7763	14.8174	11.5853	30
272	1182.71	24.7912	19.9771	55.6939	59
273	1120.65	15.9662	20.7022	51.3674	62
274	1061.05	20.7595	12.7954	16.2476	57
275	1132.85	28.4246	3.84132	153.5	101
276	1006.41	16.4198	13.9286	-178.126	49
277	1406.69	19.7768	18.4012	148.493	94
278	1294.19	18.6529	8.16012	47.8584	59
279	1280.33	35.0942	20.3557	-86.387	69
280	1091.75	15.5976	7.92424	170.255	42
281	1475.65	14.2066	23.1865	62.1589	200
282	1054.56	14.2344	24.3452	18.3987	54
283	1134.24	18.302	16.592	159.69	56
284	1268.66	16.823	25.1207	51.0103	57
285	1119.24	21.2663	25.0313	50.6408	20
286	1322.34	24.6133	16.0881	167.81	17
287	1353.6	27.1281	20.4968	-82.4968	69
288	1252.92	12.5636	14.9124	-93.6482	76
289	1271.66	14.8975	16.4587	134.497	102
290	1399.79	30.9966	20.2703	126.348	37
291	1253.25	24.6897	24.8877	-140.472	44
292	1076.88	18.2327	13.3258	143.644	51
293	1484.28	30.4338	20.8063	65.4055	55
294	1063.45	5.58362	5.63058	-130.581	554
295	1107.85	30.8426	9.57763	101.578	22
296	1134.53	10.3784	19.3919	-137.84	191
297	1385.98	14.8834	14.3036	167.131	51
298	1251.3	25.5442	21.6607	-53.383	26
299	1189.04	13.1254	20.4582	-98.6298	59
300	1151.18	21.3672	13.7697	-7.76707	55
301	1049.43	17.1027	18.2275	-159.482	62
302	1262.13	25.9976	19.5162	-154.43	45
303	1056.51	20.3737	18.896	65.4729	69
304	1008.96	20.5105	24.0698	-20.6218	44
305	1059.79	20.0727	22.4252	16.7054	43
306	1155.04	22.5034	23.1954	-126.942	50
307	1444.78	31.7293	8.38426	169.366	420
308	1382.5	15.641	24.1836	148.385	804
309	1036.41	22.1859	6.50067	58.7078	23
310	1169.67	12.9168	25.4173	-141.533	52
311	1023.25	16.8041	22.3113	-149.992	36
312	1047.19	25.7063	14.881	21.3082	30
313	1106.35	30.5437	19.718	-88.0369	24
314	1057.3	27.9984	15.2575	150.581	293
315	1421.59	18.887	21.0454	-171.426	109
316	1054.12	24.6794	17.4532	108.466	71
317	1040.48	27.5964	7.39823	145.018	24
318	1359.71	23.9335	9.50346	-7.97673	20
319	1369.25	24.4531	15.4197	20.1514	100
320	1088.91	17.5542	16.3639	-93.1671	239
321	1090.03	17.1961	11.8349	116.034	48
322	1030.84	14.2672	19.1811	-60.4678	80
323	1098.76	20.7413	10.6628	-108.249	43
324	1213.82	34.2984	9.30081	-39.7501	74
325	1220.69	22.6669	22.3053	-154.969	21
326	1457.06	17.7537	15.8326	-19.963	39
327	1101.55	26.0373	20.8392	3.63917	35
328	1078.41	28.5252	17.9582	62.9784	29
329	1297.37	28.0704	11.6548	88.6709	24
330	1328.35	33.4284	16.5289	-28.09	33
331	1452.27	57.529	6.79052	120.488	23
332	1274.26	12.5894	13.3687	-137.438	64
333	1374.82	25.6479	18.1067	175.629	36
334	1489.16	20.9929	10.7205	-70.1047	29
335	1076.84	18.3727	14.0429	0.469957	43
336	1257.69	15.0622	17.0579	-170.438	48
337	1395.66	17.7165	15.7056	-13.4622	86
338	1171.5	31.0992	14.1956	-169.317	33
339	1254.06	22.2985	24.399	-104.746	45
340	1069.28	20.3869	18.1815	-40.1788	43
341	1017.95	49.0467	14.8367	15.6884	90
342	1009.74	24.8061	19.6146	55.9044	13
343	1053.96	28.3638	23.4417	78.8243	28
344	1022.86	25.7711	18.9392	-91.1609	40
345	1092.19	20.8128	10.4988	-99.6302	32
346	1357.73	24.7537	17.545	23.8847	36
347	1314.71	24.7335	18.4458	-21.2357	26
348	1416.57	22.5329	8.93302	22.8483	32
349	1052.1	24.946	5.92273	3.52041	49
350	1043.82	23.4377	18.7562	159.483	27
351	1173.47	18.1417	13.8035	129.844	72
352	1114.79	24.6768	10.0863	-21.1252	73
353	1309.33	24.1787	24.2665	83.4364	20
354	1039.85	13.1737	24.1832	-78.6067	499
355	1243.91	25.5906	23.7583	-160.891	25
356	1190.43	19.8027	20.0457	168.735	23
357	1297.32	16.537	24.4722	79.3583	31
358	1416.66	30.1337	17.6547	-149.049	71
359	1331.04	18.8031	22.7526	29.674	39
360	1136.87	13.4576	23.9009	72.369	91
361	1098.74	8.88236	10.833	167.34	130
362	1205.51	21.1902	14.3375	-89.9971	32
363	1481.85	21.861	24.6461	5.60368	86
364	1433.8	34.0715	18.8678	167.442	80
365	1044.77	25.3738	25.1429	-14.9385	30
366	1098.5	28.7888	25.6113	-36.8689	28
367	1065.83	17.0169	23.547	59.6588	58
368	1039.03	24.8038	22.532	80.6856	34
369	1325.16	21.5669	23.8161	83.6763	111
370	1057.76	21.2868	19.6561	98.8508	72
371	1160.64	21.411	21.0038	15.4088	54
372	1375.59	10.7171	25.7802	139.493	117
373	1266.05	16.8375	20.2235	33.6613	42
374	1133.59	18.9122	20.5475	-133.692	46
375	1366.6	23.478	15.3877	45.1164	26
376	1097.3	52.8848	20.4948	-160.444	19
377	1012.68	23.3353	24.1706	135.451	112
378	1061.82	17.7569	16.003	-153.203	280
379	1141.37	23.0582	11.4658	133.966	53
380	1377.11	36.6849	20.1876	-69.9781	171
381	1455.96	25.0578	7.63402	-66.3466	54
382	1440.66	31.7326	20.7337	145.699	215
383	1073.35	14.6571	18.9448	98.9909	49
384	1019.12	23.4298	22.593	106.323	42
385	1005.57	15.9257	8.15884	-126.076	61
386	1021	13.6072	13.8802	-147.961	47
387	1035.82	22.8359	11.6669	171.963	42
388	1111.84	11.8827	14.521	-26.0175	160
389	1255.85	17.0459	25.2768	-85.3217	51
390	1128.99	19.4109	23.7741	174.936	51
391	1004.9	12.019	13.6791	95.4039	442
392	1153.26	22.7514	23.8888	-82.2138	78
393	1448.64	17.8556	20.8662	8.03186	66
394	1114.46	18.6953	10.3649	-157.075	53
395	1395.23	13.2435	25.0896	-39.21	183
396	1060.72	33.8398	15.6938	-20.6932	6
397	1411.85	18.3027	13.912	-136.991	134
398	1318.49	22.9188	10.3827	176.121	44
399	1225.04	23.2103	15.1587	-81.1311	110
400	1163.09	12.6341	9.09548	-108.296	95
401	1453.38	17.1143	15.9822	-104.69	65
402	1005.71	18.0932	25.3033	109.012	46
403	1387.61	18.6675	25.041	-86.9951	80
404	1439.81	31.8772	10.4998	172.105	88
405	1411.95	12.1686	21.0536	-24.1822	148
406	1045.82	45.4477	1.55647	120.965	23
407	1375.66	24.1844	2.7645	-62.624	41
408	1353.49	19.6375	6.42075	-137.926	64
409	1498.52	14.9366	9.8232	-173.002	216
410	1314.41	15.2752	17.8461	62.3476	88
411	1329.29	17.9409	9.90946	126.471	36
412	1272.55	28.807	20.8458	151.432	50
413	1356.79	18.2036	21.0591	-58.0433	364
414	1191.79	26.4753	24.9126	137.106	24
415	1200.26	20.3724	13.9264	-171.036	45
416	1059.66	21.2277	20.0303	78.2123	46
417	1395.39	13.8776	4.83089	88.048	58
418	1048.78	17.9386	10.0351	158.923	46
419	1106.52	7.59544	7.11585	113.243	353
420	1252.4	28.0718	10.0337	104.697	23
421	1113.89	53.7751	21.334	-176.247	19
422	1011.79	22.6003	23.4703	-18.4855	16
423	1089.04	25.0165	12.9088	-106.684	17
424	1222.93	21.4109	17.6078	26.1783	50
425	1015.85	21.9622	21.7149	-51.856	29
426	1133.34	15.8696	23.3026	-88.305	31
427	1228	21.051	15.254	149.936	39
428	1206.44	7.75278	10.8284	-113.088	317
429	1064.73	17.2878	14.7853	-20.1873	39
430	1137.37	20.4797	19.53	-75.9839	24
431	1309.31	41.9825	17.1861	-22.8232	50
432	1150.99	17.4231	24.9821	130.802	102
433	1097.22	14.6501	21.674	33.7219	33
434	1454.19	22.6098	24.2842	101.715	58
435	1285.5	18.1703	22.4952	-83.4609	140
436	1070.09	19.331	19.3221	-27.6936	25
437	1333.67	19.0165	19.6352	17.4408	154
438	1292.96	33.5896	19.3572	-57.3516	32
439	1078.45	28.4125	12.7095	82.0675	25
440	1104.26	19.2996	25.2635	137.862	32
441	1133.87	17.668	13.0679	92.5713	31
442	1176.45	16.779	7.28823	19.4109	95
443	1034.78	19.4045	20.4572	-7.02544	27
444	1094.81	24.1099	13.8404	-173.997	24
445	1083.85	26.5273	5.20356	9.47812	23
446	1261.09	19.5008	21.1476	30.5508	59
447	1104.81	12.3256	19.6941	-132.43	93
448	1122.38	28.1867	22.2908	126.336	17
449	1087.64	15.0705	20.8233	-97.4396	58
450	1083.08	20.0503	24.6692	-69.8352	26
451	1300.51	47.076	13.3878	-80.023	36
452	1251.75	16.9008	14.2662	-162.584	125
453	1117.74	17.1009	24.3556	-18.0415	33
454	1193.8	33.2614	6.85832	-165.065	69
455	1297.25	14.2172	14.1786	90.4502	69
456	1201.82	44.5606	22.1943	153.271	21
457	1162.32	15.1195	11.8694	-158.917	326
458	1429.16	19.8342	19.247	-146.072	38
459	1004.95	27.6301	13.3359	168.73	19
460	1171.64	38.7568	25.7759	-113.07	15
461	1130.01	16.7438	10.8612	149.116	30
462	1150.12	9.92528	16.2476	103.972	123
463	1033.53	11.2538	10.3585	-161.713	185
464	1312.52	16.198	5.91603	-115.55	79
465	1295.36	13.7244	9.63506	51.9663	56
466	1194.77	14.2825	23.8818	32.2222	70
467	1182.67	53.8649	24.9681	-20.2832	25
468	1027.16	16.9736	2.59244	105.533	40
469	1134.83	17.0105	20.9145	113.715	24
470	1333.52	23.0611	24.0296	26.7686	35
471	1077.71	27.4955	8.77719	-99.8382	51
472	1272.51	8.56391	23.0535	141.421	247
473	1108.07	13.7482	18.0641	-107.339	45
474	1169.1	27.5906	25.5154	52.5307	40
475	1102.78	17.2525	24.7334	-174.589	50
476	1044.09	18.6883	6.82833	-74.9401	43
477	1208.96	21.6424	8.05134	-72.5601	42
478	1347.29	21.1004	3.9306	-24.0054	31
479	1431.96	26.1742	23.9594	-47.425	87
480	1065.47	24.065	16.448	5.85462	127
481	1054.82	20.0804	24.8219	-32.0022	45
482	1004.8	26.0283	20.1621	-83.3791	77
483	1273.93	23.4882	15.3226	56.1095	46
484	1108.06	17.3356	6.52727	-150.333	127
485	1250.04	15.1675	22.5868	46.222	254
486	1006.73	14.357	15.7387	73.8392	65
487	1252.44	15.2011	18.353	98.6569	54
488	1292.46	25.1491	24.8958	76.866	79
489	1278.41	26.2899	24.2846	-151.859	28
490	1272.02	34.022	6.79375	-118.865	76
491	1268.27	15.2156	23.082	-109.803	61
492	1344.58	22.7104	19.9003	62.1311	97
493	1016.84	20.7478	25.7243	85.2902	13
494	1128.79	22.1951	10.5179	-12.7165	46
495	1200.58	22.2928	22.7965	-25.4983	96
496	1310.1	22.6939	25.0712	90.7742	40
497	1026.47	16.6816	15.2863	-139.153	73
498	1110.03	28.6689	25.3639	-28.0493	20
499	1485.93	34.7848	24.1462	-142.624	98
500	1118.6	14.4242	7.54076	26.8144	46
501	1402.47	17.3601	23.7067	22.8759	60
502	1028.88	11.2537	23.5208	-83.6447	29
503	1118.13	21.7953	15.209	-103.162	35
504	1115.66	41.5965	19.8175	-71.9067	69
505	1017.99	23.2774	16.9025	148.159	22
506	1071.84	26.3572	13.2894	156.474	21
507	1398.28	24.8305	9.62533	5.46454	158
508	1247.85	25.6142	12.8579	-110.598	145
509	1012.86	20.0327	10.5756	-67.4935	132
510	1185.11	14.437	15.9149	145.878	41
511	1307.95	15.2148	21.9318	-120.697	79
512	1079.99	23.8272	15.5298	54.139	52
513	1098.45	17.9395	14.0954	91.2584	117
514	1177.73	26.4427	23.8521	138.992	85
515	1049.42	21.0869	24.5529	105.833	25
516	1055.47	24.9039	13.4791	145.693	18
517	1003.36	69.1957	7.29186	-136.929	27
518	1249.01	19.4705	24.5714	-91.4964	53
519	1248.18	19.7451	16.1264	-84.129	41
520	1313.27	50.1406	24.1148	116.164	14
521	1070.77	17.7946	25.2492	-106.34	147
522	1246.23	21.9687	11.2022	139.897	35
523	1118.21	19.1464	24.7464	62.0395	30
524	1123.45	16.8375	24.0577	14.9736	36
525	1070.75	22.8891	25.4375	178.033	20
526	1308.57	22.4586	13.474	-18.2083	20
527	1374.31	12.9984	19.0106	34.5135	175
528	1196.57	13.8818	25.4037	-93.6575	60
529	1292.21	23.832	25.1672	-86.0707	16
530	1388.38	18.308	7.52696	71.1788	66
531	1428.06	22.9345	14.9326	-59.6671	100
532	1276.53	10.4945	22.9349	0.892485	99
533	1390.65	11.5316	14.8828	-133.652	182
534	1149.62	14.5842	8.99403	84.5305	67
535	1286.07	11.0211	18.7172	37.5038	178
536	1205.07	25.084	20.1585	97.2826	32
537	1218.03	27.637	15.3434	57.7231	83
538	1250.05	11.6401	23.9637	-12.1473	71
539	1253.02	18.8469	20.9898	88.6797	22
540	1255.12	11.2518	20.9516	141.843	295
541	1448.3	16.5093	15.6654	87.8819	102
542	1021.02	39.9391	15.2115	-36.3927	53
543	1239.06	16.0753	7.92725	40.6872	228
544	1336.49	21.9854	10.1292	103.688	53
545	1103.58	7.03027	25.3046	18.8299	371
546	1074.11	28.5135	20.5543	117.484	66
547	1094.81	9.04619	13.6763	150.111	153
548	1201.85	20.0172	19.3836	-17.7444	23
549	1186.71	37.2942	25.2964	-102.352	17
550	1280.72	19.6697	25.0964	27.7314	99
551	1376.6	17.3573	25.4526	57.7602	94
552	1149.37	10.4828	19.8132	-12.274	234
553	1235.05	9.16666	23.7257	-97.1622	294
554	1143.34	32.999	24.2797	-134.594	16
555	1351.47	22.3006	16.1143	-158.374	121
556	1086.87	26.1327	20.3445	-125.559	72
557	1199.94	70.3211	22.7381	99.145	28
558	1235.21	33.8518	22.0644	52.7236	73
559	1099.89	16.8316	24.1176	149.899	87
560	1032.31	20.3244	17.6866	73.2111	23
561	1112.79	34.2674	5.00759	107.35	24
562	1053.02	63.4121	19.9496	-156.1	5
563	1386.49	27.6283	21.9402	161.922	58
564	1190.7	19.6051	18.2776	-26.6874	459
565	1129.84	8.25347	22.9594	137.871	239
566	1403.21	29.3267	20.3901	-165.14	44
567	1499.19	21.1106	14.1023	-176.878	71
568	1259.05	39.3934	16.2263	-155.221	44
569	1062.75	15.4178	5.13326	4.36115	38
570	1113.82	13.4448	15.3362	17.8293	226
571	1096.53	30.7914	21.0543	-78.9053	35
572	1218.87	52.9458	20.9437	-108.522	31
573	1054.82	26.6372	23.6091	120.918	26
574	1423.22	12.9669	25.4854	170.249	415
575	1218.21	17.0774	17.9699	-11.9506	77
576	1221.71	17.0356	12.189	4.8873	75
577	1243.63	28.8918	14.44	151.106	28
578	1035.97	23.1319	11.3782	-48.5751	46
579	1003.82	19.9971	22.3166	-132.734	44
580	1008.27	31.8546	21.3283	-47.0508	21
581	1017.45	14.8138	15.3461	122.737	65
582	1104.79	18.293	15.7041	77.5906	29
583	1385.77	25.6342	25.3362	97.3729	68
584	1302.44	22.4572	17.8728	12.1425	70
