NShow	Energy	ZFInt	ZhAng	AzAng	NParticles
1	1000	21.8589	20.9329	175.381	240
2	1000	21.6378	19.0342	-9.29939	51
3	1000	22.9038	16.5626	164.264	246
4	1000	13.4947	20.7523	155.633	32
5	1000	19.9795	8.44973	48.147	49
6	1000	12.9938	17.9335	-67.0737	120
7	1000	19.1748	25.0942	48.5312	35
8	1000	18.5189	23.9635	81.5776	45
9	1000	9.78908	1.89148	-8.97437	157
10	1000	33.8135	13.0912	-8.05829	104
11	1000	8.72218	13.2556	-138.722	293
12	1000	15.9065	22.943	169.062	51
13	1000	14.7545	5.88405	30.0289	103
14	1000	17.7073	25.0998	147.116	216
15	1000	18.5941	11.7909	94.3197	25
16	1000	18.454	15.4413	179.039	137
17	1000	26.1	8.77941	64.5347	43
18	1000	23.5406	14.0241	-125.098	93
19	1000	23.2609	25.0189	-43.5902	14
20	1000	23.5156	18.5125	-20.5344	24
21	1000	20.8531	23.6515	94.5267	33
22	1000	25.5394	13.3432	-59.5698	29
23	1000	25.6926	10.3989	-34.2555	13
24	1000	10.8105	14.6704	-16.1009	42
25	1000	17.0204	20.689	63.407	222
26	1000	18.7851	24.8096	-33.5978	34
27	1000	25.1457	12.2423	27.1799	159
28	1000	17.1988	18.2557	139.66	33
29	1000	19.658	12.48	65.0233	34
30	1000	35.11	14.6943	-65.6738	19
31	1000	24.901	13.1669	-73.0398	31
32	1000	13.6668	8.29743	-13.332	80
33	1000	13.8853	21.4233	-8.39064	39
34	1000	27.7557	15.3051	65.361	37
35	1000	30.8469	16.8248	62.2751	23
36	1000	26.5276	18.0128	-148.059	31
37	1000	13.9032	19.7042	-128.717	30
38	1000	22.7669	6.5307	-22.4531	34
39	1000	17.9392	21.8765	-68.6976	46
40	1000	15.8668	10.2342	-27.9513	199
41	1000	28.0325	19.7158	3.99721	22
42	1000	28.9666	13.0887	61.9581	50
43	1000	14.7228	12.2776	-80.239	56
44	1000	21.2462	6.40018	-65.6458	117
45	1000	20.9269	16.3461	-40.9637	27
46	1000	22.1702	5.02008	-172.181	19
47	1000	27.8513	17.33	136.101	23
48	1000	17.4203	15.7113	178.693	371
49	1000	15.3363	6.46298	96.059	59
50	1000	10.6612	22.2622	-102.743	322
51	1000	10.1646	24.3866	66.2562	74
52	1000	14.1157	19.1037	7.12531	55
53	1000	28.8751	18.1995	84.616	70
54	1000	10.3289	16.0797	-97.0856	295
55	1000	11.3088	23.4594	-62.4957	120
56	1000	23.722	16.7065	158.084	14
57	1000	9.99263	20.9552	-177.421	258
58	1000	18.6177	20.3812	-118.289	60
59	1000	26.9405	18.3792	-130.277	36
60	1000	24.9907	24.7354	-157.933	37
61	1000	13.1728	17.0049	70.371	107
62	1000	23.7918	25.3801	130.947	149
63	1000	11.24	12.388	84.7985	65
64	1000	35.5888	4.5474	-117.65	26
65	1000	21.444	21.1545	-125.479	27
66	1000	14.8545	19.6945	3.8313	46
67	1000	17.5945	13.414	12.0564	110
68	1000	24.1267	22.2604	-21.8384	36
69	1000	24.7345	22.0444	-164.28	13
70	1000	17.1125	25.3811	-60.6856	27
71	1000	31.5697	12.3188	-17.2486	135
72	1000	29.944	20.932	-136.911	15
73	1000	10.9729	16.3704	-165.77	141
74	1000	14.8873	9.23391	-13.1771	38
75	1000	23.651	25.5185	-22.5054	16
76	1000	18.8591	15.0736	69.4343	43
77	1000	13.4541	22.4062	-101.936	37
78	1000	29.4249	8.2038	48.9573	48
79	1000	28.8101	25.2913	152.385	47
80	1000	32.2962	21.8332	40.7484	18
81	1000	15.2667	20.9892	98.3619	37
82	1000	14.7482	17.4767	76.3094	283
83	1000	18.109	25.7124	-116.935	54
84	1000	34.6592	12.7266	104.374	26
85	1000	29.4421	12.2101	95.431	24
86	1000	32.8487	21.058	114.124	51
87	1000	13.7855	18.6184	-140.486	37
88	1000	11.636	18.6733	-98.51	198
89	1000	23.7211	8.68722	123.207	60
90	1000	35.3504	20.2731	-108.944	26
91	1000	15.7968	4.09721	-177.492	32
92	1000	18.9762	22.4954	-33.7242	41
93	1000	33.8949	25.6154	135.813	53
94	1000	13.7621	19.863	149.122	208
95	1000	24.3668	18.5462	-56.0628	28
96	1000	14.1012	15.8467	-21.9805	39
97	1000	20.7594	15.4193	11.0542	44
98	1000	20.9963	24.4816	82.693	34
99	1000	17.1147	8.35705	-17.5145	35
100	1000	26.6671	9.25639	165.065	35
101	1000	8.69112	15.065	75.5959	189
102	1000	30.5651	12.344	-122.663	106
103	1000	16.6908	20.3436	-168.024	39
104	1000	15.91	19.7026	152.457	22
105	1000	43.6348	15.4067	165.584	16
106	1000	16.6422	18.6872	-150.981	246
107	1000	30.3348	18.2318	-134.902	55
108	1000	11.2492	16.88	36.9822	127
109	1000	17.9813	17.9749	-111.784	50
110	1000	17.246	11.723	123.757	35
111	1000	29.7273	9.91273	-134.574	40
112	1000	23.5455	0.982348	-35.4783	24
113	1000	21.312	16.0358	-20.6738	45
114	1000	28.6223	24.0584	-175.635	26
115	1000	15.4542	17.8448	-43.1483	62
116	1000	8.87295	21.9129	146.192	208
117	1000	22.8593	16.0438	100.964	30
118	1000	31.3247	22.4294	29.1335	21
119	1000	19.6134	17.6494	-136.273	26
120	1000	27.6884	22.9379	-50.0167	44
121	1000	44.0549	10.5449	-38.004	20
122	1000	16.4409	6.7497	29.1109	369
123	1000	25.6658	11.9366	123.76	53
124	1000	14.971	20.4383	138.953	73
125	1000	30.2032	7.15021	106.563	30
126	1000	12.7449	9.62005	-51.5164	68
127	1000	14.1185	24.7112	-133.634	41
128	1000	14.6749	25.1479	-37.2435	63
129	1000	20.1258	23.2537	10.1165	74
130	1000	16.1872	4.95428	-31.7181	106
131	1000	9.72748	21.8315	16.3379	143
132	1000	22.6537	3.95659	-89.0969	15
133	1000	15.9223	13.144	147.889	75
134	1000	25.099	16.9228	-37.7866	36
135	1000	8.39305	4.29357	-98.7839	187
136	1000	23.0227	13.2716	7.77579	24
137	1000	13.3585	12.079	29.3591	148
138	1000	38.1048	10.7623	34.3018	22
139	1000	24.5019	23.1307	-35.4434	46
140	1000	22.9207	20.7842	-176.588	30
141	1000	21.5387	8.89792	-159.536	34
