N. Shower	Energy (GeV)	Zfirst (km)	Theta (°)	Phi (°)	N. Particles
423	18.6454	14.8314	20.1463	70.6196	1
424	43.255	13.9333	18.0876	77.6299	2
425	26.5816	15.4466	18.4134	-153.021	3
427	12.5367	10.789	9.0347	70.9825	1
428	18.243	17.4946	8.00971	-168.688	1
431	42.2711	11.7407	3.72063	18.338	3
433	12.3845	20.8873	24.2326	-11.9993	4
434	17.9672	19.5229	6.89405	-60.8303	1
441	19.2691	15.7518	13.9477	-53.5716	1
442	11.8182	28.379	17.7674	16.5033	1
446	43.2349	16.3452	17.2497	101.715	2
447	62.9825	27.9041	15.0801	1.91763	1
448	67.3345	10.9147	25.3672	-174.735	1
451	11.4715	15.8538	14.2066	-140.752	2
452	70.6297	20.6378	5.94347	9.46471	1
454	26.7405	21.5578	15.982	-161.463	1
455	38.3319	45.8681	15.8687	-153.761	1
458	16.692	25.5069	20.0103	80.4089	1
462	15.15	19.1404	9.8512	-114.949	1
463	13.3088	19.8564	12.9255	-46.2382	7
464	15.3773	15.7527	24.087	-59.3023	1
471	17.3941	20.1928	16.5613	1.98378	1
473	41.9861	23.2773	19.2907	173.577	1
474	19.0204	14.1578	5.77978	165.672	1
475	26.1993	19.881	6.44753	-124.754	2
476	13.1922	15.2595	9.1653	95.3454	4
482	15.0167	23.1346	20.5005	63.5259	1
484	44.62	15.6549	15.5083	-7.36166	5
485	13.2662	15.4184	10.751	-131.707	1
491	13.6785	37.306	20.154	40.212	1
492	43.4568	26.9527	17.7377	-78.7731	1
493	17.778	19.8028	4.17956	-129.212	5
500	13.1008	12.4074	2.57812	-44.3456	1
503	35.9616	17.2299	14.1405	-154.106	4
508	16.6081	14.3159	20.9418	48.3882	2
513	38.9537	15.1519	9.59377	58.9475	1
514	30.3603	19.1186	24.6004	113.342	1
515	19.108	32.9974	11.6903	126.145	2
519	33.1145	21.2123	13.1376	176.479	1
522	16.0043	10.1927	18.0644	-71.5303	1
529	12.6869	13.2563	17.4335	62.3477	1
534	59.7087	36.6335	10.4443	155.382	2
537	43.0222	9.01122	22.2259	-65.5859	3
542	23.0686	17.7714	22.7283	-158.939	1
546	83.2333	27.3484	18.5093	88.8392	2
547	35.1665	21.9773	22.8868	37.2587	1
548	32.818	14.6705	1.72372	72.6985	3
549	13.0212	29.6653	14.0683	-29.5061	2
552	29.9444	20.1323	15.6802	-100.195	1
554	10.0844	26.8412	9.90608	37.4718	1
555	21.3358	24.7727	24.2447	4.61055	1
557	14.1434	33.9398	9.95128	-55.1015	1
561	33.5831	10.6331	24.9884	79.1263	1
564	15.9964	28.8901	11.2694	-109.653	1
565	17.8145	16.4417	16.8223	-170.312	1
571	12.659	15.8262	22.9834	-123.292	1
573	15.6293	20.2662	12.1901	-14.724	1
582	30.9855	15.0836	21.1839	-173.271	2
583	12.8395	20.3283	22.912	128.813	1
589	11.352	17.6918	24.4088	156.55	1
600	24.9676	33.3206	9.82421	-81.8608	1
604	11.7882	27.5925	5.29726	-19.4108	1
613	12.3627	28.5436	6.77544	-44.266	1
614	15.0293	22.1867	19.0227	8.42474	2
615	20.0286	12.0217	14.8891	43.507	1
616	19.3121	23.7643	17.9305	95.8896	1
617	10.6922	29.4972	5.00596	23.2762	1
619	45.3099	12.8612	23.1457	22.9964	2
620	21.0458	12.8128	22.3174	121.934	2
626	19.6596	17.9512	18.3421	-39.7171	4
630	23.6666	17.9987	19.4024	-169.11	1
631	10.7987	15.8136	10.8993	152.107	2
632	77.2684	11.1674	17.7651	-3.87729	8
633	29.5595	8.1013	9.29459	-154.35	5
634	13.7993	11.5309	23.8012	170.561	1
637	17.7364	7.14014	25.0569	-23.5838	3
639	10.2656	8.72513	10.1736	-115.094	1
640	63.9133	19.9389	23.7298	2.73408	2
641	11.0908	21.7025	7.48315	-24.209	1
644	34.4317	15.9233	21.9228	146.278	8
652	19.0988	14.6845	12.5948	-91.4018	2
653	19.653	18.7988	6.47456	75.9594	1
655	16.2625	31.3777	17.0628	-174.998	1
658	12.1298	24.6759	16.2531	152.106	1
659	12.1709	15.9956	10.5575	-38.0436	1
660	16.9709	27.2878	23.8162	-25.992	1
666	14.4957	20.1767	22.7617	55.2631	2
672	12.392	14.3122	24.3388	146.697	1
675	30.1363	15.0137	23.532	143.335	5
676	11.0508	19.2949	18.0927	157.941	1
677	23.3262	43.1073	13.9895	-16.5151	1
681	35.4182	24.8778	17.949	11.4441	5
685	17.5444	12.9338	24.5512	9.12505	1
686	43.4544	19.6853	10.9297	10.8742	1
687	25.8064	26.166	12.7041	-173.591	1
688	16.5523	16.0434	19.6776	9.10173	1
704	15.7829	24.03	17.5757	149.59	1
707	22.5567	21.7016	11.9046	-47.104	1
710	15.0142	8.51605	16.6635	-3.02029	3
716	27.2599	26.5561	11.6669	-96.2298	1
722	26.6905	33.6237	20.485	-7.04242	1
725	84.3003	9.79734	21.9459	44.7699	2
726	11.1473	16.0754	17.3589	-106.251	1
730	14.7961	20.7252	20.6143	17.7882	2
733	24.962	26.2043	14.4495	141.459	1
739	24.2497	16.0635	23.316	-19.9349	1
743	42.7299	16.0917	17.7725	84.7873	1
744	25.3061	10.9683	5.78881	33.3358	2
745	15.2556	28.5371	24.2118	-2.8128	1
746	35.3353	7.61716	20.0381	-70.553	6
748	19.4954	9.07108	12.2929	62.5754	2
751	53.6148	16.7343	15.7039	114.133	2
755	13.2778	15.0453	11.9605	52.1976	1
756	31.422	12.5881	8.54066	75.5861	1
757	25.4626	17.9433	12.6046	-152.261	1
758	48.7702	17.8454	19.9694	-172.093	2
759	10.2824	16.2723	16.2238	107.825	4
762	11.176	11.4074	13.2881	43.3115	8
763	24.0433	11.8366	8.25143	61.3548	4
765	19.4361	22.1663	19.0957	-121.962	2
766	10.9306	16.288	10.5279	176.385	1
774	34.913	14.1321	24.8387	116.566	1
776	22.0943	18.5069	19.3124	140.788	1
777	46.5264	19.4145	19.6541	-92.7151	1
778	16.7356	15.8301	21.3325	123.934	1
779	22.9605	16.2124	9.53731	68.9363	1
783	45.0718	20.3347	19.4496	-146.293	6
787	11.6322	22.7381	13.0683	-47.5717	3
789	23.8152	19.944	25.0738	-110.369	1
792	16.7022	17.2008	13.2074	-10.7574	1
803	25.4756	20.3057	17.0734	-29.4253	1
805	27.9302	29.0301	10.2679	-43.2597	1
810	11.2882	26.4696	12.3128	45.0729	1
811	22.2916	10.3304	4.23501	-146.476	9
813	16.1506	11.9152	19.1292	-146.427	1
814	60.3739	23.9136	23.2951	-86.6377	2
821	17.6556	14.1214	20.5346	-162.063	2
824	12.132	21.3133	14.7726	-147.469	2
827	12.4533	10.6361	12.594	-146.527	1
828	18.6202	36.7238	11.4052	-68.014	1
829	54.2439	16.2475	4.65277	-103.442	2
832	21.3054	22.6734	23.7177	148.999	1
836	98.3045	21.2075	6.42218	124.346	1
841	14.4816	14.078	18.6652	-102.039	2
850	33.4487	19.6546	17.1964	126.929	1
852	36.5962	20.8538	19.7669	177.477	1
862	34.1995	18.1908	23.202	-13.3299	1
863	17.2823	7.46731	18.1083	-11.4456	2
864	48.3852	20.0367	17.6818	-25.8246	1
866	13.1262	10.23	8.38695	153.2	1
871	38.8145	13.0071	14.602	150.639	2
877	36.5694	9.22619	18.6441	-153.94	7
879	10.7356	28.5691	22.1285	-28.9888	1
883	27.1286	30.0805	17.5489	-91.3964	1
887	11.6514	6.59961	21.7137	102.552	3
892	18.5696	29.1345	10.706	0.564338	1
893	13.9262	11.4577	21.6334	95.4994	1
895	10.7525	19.9736	1.45582	73.3867	1
900	13.5938	27.1253	8.02986	43.4762	2
902	49.3055	31.2757	15.643	-96.0084	2
903	17.1112	43.4507	2.89212	153.857	1
904	21.2414	13.8986	12.8059	-75.5569	5
907	15.0294	16.4034	5.55985	44.5158	2
908	24.9343	17.1079	16.0455	99.7183	5
914	12.1801	16.9155	18.047	-96.8205	1
918	18.1061	19.2482	16.5676	-172.79	1
922	20.5688	11.234	7.12388	-52.5433	3
923	18.4195	28.9059	18.2461	54.3486	1
925	10.2819	25.3251	12.4264	0.920326	1
926	30.8955	30.412	17.1933	-142.582	1
929	79.3959	43.4791	13.2533	31.6385	2
931	10.1917	6.5165	15.2661	4.10127	1
934	11.112	15.2759	24.7324	-153.929	1
939	11.6138	17.7945	14.6036	88.0373	3
940	78.4015	33.296	14.4239	-96.7621	1
941	20.9894	4.47766	14.8389	-150.726	11
951	12.8828	21.1723	21.322	146.591	2
954	13.8648	18.2062	15.5541	-149.573	1
958	25.5336	19.5418	7.9919	-158.85	2
959	17.6684	21.4329	10.0019	21.6405	1
960	12.3064	16.4368	24.1438	-20.6862	1
961	24.2615	24.202	14.8573	-18.2058	1
965	15.4869	32.4786	22.755	44.9641	2
968	19.1905	24.1543	24.2395	-82.949	1
969	25.4054	22.7719	19.7699	57.3079	2
972	11.5882	29.7524	17.9184	161.051	1
976	72.7606	17.1345	24.3615	5.80699	8
977	18.2262	39.0837	18.799	-53.5855	1
978	10.3062	13.5233	19.5525	-18.7991	1
980	13.8634	7.9298	20.2462	134.734	4
994	14.5652	17.3085	10.0462	128.055	1
995	14.5406	23.1832	7.54096	-175.598	2
997	14.7753	21.8917	13.6018	34.4697	1
998	22.0167	21.5903	11.7428	11.6257	1
1000	32.5036	22.9998	21.1817	179.91	1
1007	17.6648	16.6866	12.7213	37.4331	1
1015	18.2669	27.1536	11.7535	166.191	1
1019	16.0646	21.2117	19.6627	-151.807	1
1027	10.417	16.7933	22.916	67.7453	1
1029	14.1234	17.5855	17.7425	-56.2018	1
1033	20.0996	18.2717	23.9253	102.548	3
1041	19.9834	18.6087	5.33678	110.988	1
1044	17.1945	17.3766	16.7512	-130.083	1
1046	26.9772	23.7004	11.5453	-105.665	1
1047	19.0057	17.3526	22.1261	-48.8699	2
1049	24.9389	14.4959	23.527	-133.3	4
1051	11.18	15.8476	16.5824	-21.4657	1
1052	15.4153	28.4968	7.73022	176.062	1
1055	50.1383	10.2958	25.7931	-106.945	5
1057	43.7776	22.4778	7.00059	-86.8447	1
1059	11.7659	12.4891	17.6732	-159.761	2
1061	22.0098	26.0236	21.8148	-86.8223	1
1064	10.6063	23.3521	7.84504	-55.8972	1
1068	40.7815	17.8169	22.1118	79.7875	2
1079	32.4487	11.9124	24.4832	89.2796	4
1080	11.0029	18.5458	15.2755	-81.4486	1
1081	10.9413	13.9447	5.82494	108.436	1
1086	16.4415	17.0049	13.7381	104.269	2
1087	17.9149	19.1879	17.7539	155.842	1
1088	32.1395	18.5605	25.0227	153.74	1
1090	23.8703	33.3484	16.9279	-3.40458	1
1093	41.9513	29.3888	23.205	144.778	1
1094	39.4857	12.4463	24.1149	82.6203	10
1095	24.2987	18.2825	24.9553	100.878	1
1096	55.9101	25.7747	23.591	-113.161	2
1103	34.5069	22.0602	23.7188	6.09332	1
1104	12.1455	17.076	24.1436	-21.6675	1
1106	36.8612	11.8585	22.6744	-123.799	2
1109	16.0714	14.2621	22.0892	110.805	2
1115	13.1978	18.568	18.8722	-83.7627	1
1117	24.1384	13.2597	10.1812	-167.793	2
1120	11.4605	20.3448	0.416042	-125.205	1
1122	48.3604	12.3808	5.64966	-26.342	2
1129	17.6711	10.7767	15.0048	-92.3666	1
1130	54.3772	27.3161	10.8762	-91.7097	10
1133	13.4314	26.1303	17.4871	83.3799	3
1135	42.6788	21.4452	17.7456	178.482	1
1139	15.4824	13.7414	22.5912	-65.802	5
1141	15.9989	19.7593	20.9027	-142.938	1
1143	25.2867	9.17709	13.327	56.5314	3
1144	10.3948	17.3213	16.5941	-132.253	1
1146	26.1373	19.7738	7.76309	61.4706	1
1147	11.8202	35.7362	19.7992	-172.353	1
1152	15.299	32.6913	12.2702	36.3567	3
1155	32.3965	19.3891	18.8084	-115.669	2
1156	48.8628	22.4438	22.2022	98.3757	3
1161	11.1718	20.644	12.6536	104.945	2
1164	13.7302	15.6112	24.006	5.89194	1
1166	19.7938	12.3345	12.349	25.5667	1
1169	11.3625	17.1243	4.16481	178.372	1
1177	11.231	13.432	23.7177	-157.218	1
1181	12.1591	12.3414	14.752	147.383	2
1183	25.0596	23.9401	24.2881	106.508	1
1185	23.5296	17.0512	18.4162	-95.5433	1
1186	10.5543	35.9745	15.3214	166.979	1
1190	13.9196	11.3554	11.1046	46.0421	2
1191	30.3762	14.0241	22.7572	140.755	1
1192	37.7533	17.4077	19.9948	124.541	1
1198	33.9638	13.1649	15.1254	-31.3794	1
1199	25.5728	10.9115	23.9981	116.934	1
1200	35.4631	23.8391	23.6029	-94.5031	1
1201	37.5849	12.3812	17.4973	107.895	2
1202	34.3177	20.9035	20.0979	-31.1618	2
1204	29.9314	29.5424	10.9516	-110.616	1
1206	11.5951	27.2207	17.034	-47.2154	1
1215	14.3057	21.4456	3.6403	-116.739	1
1218	13.5886	21.5204	11.2951	-122.555	2
1220	28.6345	18.9849	15.4	-145.617	1
1223	51.2458	17.3275	21.4158	-26.6063	4
1224	32.4319	22.8182	10.7653	-166.802	2
1228	10.9712	16.0521	24.601	-28.2062	1
1229	16.0346	21.2421	4.32149	-150.653	1
1231	21.7972	12.2763	20.6959	-154.665	3
1235	27.1445	10.7012	21.9265	-96.7334	5
1237	24.569	27.2006	7.68954	70.0127	1
1240	24.1091	19.2539	24.9071	-108.023	1
1243	19.0169	15.9284	12.1129	-31.1333	1
1251	10.7823	13.8184	19.2479	-41.1321	1
1255	33.4171	25.7099	8.79516	131.113	2
1256	62.2614	13.5072	19.2101	-59.1986	1
1257	21.2122	33.7874	23.2846	-35.7097	1
1261	12.3875	13.474	12.4526	-18.568	2
1262	10.4131	11.552	22.1284	142.215	1
1263	25.0612	22.3043	14.9946	-126.526	1
1265	58.2398	35.173	13.2399	-35.549	3
1266	10.0083	36.8822	8.72115	31.2247	1
1267	48.3275	19.0698	21.9579	-11.9549	1
1268	24.3765	28.3908	8.3209	56.1533	1
1270	17.749	31.9139	24.9006	-117.105	1
1272	36.6932	15.2776	16.6893	16.5853	1
1278	23.8568	15.5913	18.7772	-37.4448	9
1280	66.1841	21.751	14.0471	-53.9667	1
1284	15.9804	24.1758	14.9448	-80.1663	2
1285	46.6891	19.0836	4.01132	-177.655	4
1290	32.3783	27.4	23.6496	-174.829	1
1293	10.1468	20.2082	9.29631	-45.0273	1
1294	36.4355	23.2278	10.5161	106.607	4
1299	13.521	14.6114	16.28	-102.444	3
1301	36.4833	23.9612	2.75947	160.837	1
1303	25.6461	15.9439	23.8503	114.504	1
1305	10.9917	56.6501	22.0838	81.3785	1
1306	13.6416	17.5203	1.70105	-166.819	1
1307	22.5628	15.6343	23.4457	-7.53252	1
1314	24.461	30.8932	11.6691	-172.01	1
1323	13.9101	17.0105	21.333	162.735	1
1324	19.2321	19.9328	13.4487	-131.793	1
1329	18.0503	16.8616	21.4856	-139.252	1
1330	28.7748	13.2948	11.5436	-51.7866	1
1332	23.3779	17.1226	15.1195	3.27522	2
1337	22.085	13.4294	14.086	-78.2402	2
1339	33.7602	21.7684	18.5929	99.4436	1
1340	23.9215	19.4505	20.5638	26.4495	1
1341	12.6386	14.9403	17.5339	-146.504	1
1345	91.9811	8.84081	21.4251	22.4901	13
1348	15.881	22.2623	22.5569	-35.4581	1
1349	60.4154	16.9306	17.9266	27.9367	1
1350	26.0047	21.6372	23.9295	78.0934	1
1351	15.4404	13.614	24.9002	54.9831	1
1353	13.3276	5.55115	17.689	3.12596	4
1358	29.3863	11.3343	21.7327	127.466	2
1359	40.8078	30.4107	20.8901	47.6374	1
1361	28.3757	40.3632	12.7361	-57.5044	3
1367	28.7837	10.5348	7.55117	-167.188	5
1368	47.0386	15.1865	19.8165	161.844	2
1373	13.2727	20.8205	12.4852	112.276	1
1378	17.2555	13.2411	25.0611	113.622	1
1380	37.1413	22.9018	4.32567	-140.876	1
1381	12.2678	14.7172	15.5116	110.827	1
1384	22.4757	19.6308	19.6211	125.755	1
1387	26.2317	11.8526	11.6867	83.7293	3
1390	16.9468	21.1766	25.7217	37.145	1
1393	64.9715	33.4022	18.397	62.1161	1
1398	38.8255	25.228	11.7881	-175.456	9
1403	11.0635	25.7657	16.8224	144.639	1
1409	15.4302	18.7977	23.108	94.5738	1
1410	27.4817	45.0093	21.0726	143.594	1
1414	16.7155	20.5234	16.8328	82.7107	1
1416	19.0939	23.0417	13.9577	-43.7999	1
1417	34.4261	17.3271	15.8438	-121.086	2
1419	12.4733	25.5814	24.2428	94.4741	1
1424	12.2504	9.27794	3.24482	-30.1329	8
1425	28.9599	19.7289	23.6663	121.696	2
1426	61.0807	20.5524	1.5124	43.7692	9
1430	32.6162	13.9698	21.1609	-160.265	2
1432	31.4629	20.5607	23.3065	162.092	1
1434	16.0481	10.5679	9.08572	-166.637	2
1435	12.4837	11.1351	25.7306	-25.299	1
1439	19.3922	24.4287	2.49891	64.9221	1
1440	18.9648	37.1131	9.44867	22.6693	1
1446	97.0838	7.69564	14.2177	-97.726	13
1450	12.7407	18.1011	24.0838	23.633	3
1452	10.7377	14.8719	9.79467	-105.54	1
1455	17.4074	19.8315	22.5945	-137.662	2
1460	41.2427	18.4154	21.9504	-121.214	1
1465	27.6069	16.1826	14.3101	-127.949	1
1466	12.025	12.1957	14.0712	122.823	1
1468	15.7258	20.5001	12.9895	101.353	1
1471	10.0638	23.6632	11.399	-34.631	1
1473	33.8024	37.9739	18.3102	176.367	1
1475	10.2967	28.6152	18.8308	52.8256	1
1476	10.8367	13.9015	14.4043	-79.4543	1
1477	13.3121	7.67952	12.6559	57.7643	1
1479	28.6558	19.6972	3.06748	-159.243	4
1480	30.8485	26.5328	24.3255	-55.7681	1
1481	50.9886	20.6663	25.2203	114.404	1
1482	11.6328	30.9593	2.8973	59.5152	1
1486	28.4469	10.6531	23.4874	-31.1944	12
1493	61.4476	13.1762	25.0541	11.7213	6
1496	14.0551	12.8495	12.1847	-176.359	2
1503	55.5955	39.8117	6.89777	60.689	4
1507	26.2213	17.129	11.0771	-14.6459	3
1516	30.1142	28.331	22.5128	-89.0371	1
1517	14.4311	16.6109	24.9832	160.987	1
1518	15.3508	14.1177	14.2818	-6.10677	1
1521	13.3025	25.4983	21.8064	81.3911	1
1526	10.4237	19.2575	21.9024	-17.2784	1
1534	15.8244	27.7308	17.4442	-84.4774	1
1535	15.9746	7.89981	22.4042	-128.356	2
1536	48.2563	24.9884	23.9845	58.0551	1
1537	13.7401	15.5721	20.6174	-113.335	1
1541	12.3134	36.8466	24.4514	-107.334	1
1548	21.5873	14.5916	11.7481	58.3258	1
1551	96.0045	14.0813	19.1728	-89.6366	4
1554	30.1516	19.2623	20.6041	-46.4185	1
1556	15.9485	14.9138	19.0933	94.2011	1
1559	24.3715	21.166	25.6072	-158.198	1
1562	29.5372	16.3405	25.7612	142.457	1
1565	10.3084	45.6337	8.53351	67.0234	1
1566	10.4665	38.8894	12.7197	-117.688	2
1568	15.7433	12.1061	24.4078	-49.4349	2
1575	20.9972	16.9354	20.3357	-0.762521	2
1578	12.6338	55.159	23.7837	-167.347	1
1579	23.9171	15.1657	6.6861	35.2972	5
1584	19.0519	19.6805	17.2697	153.61	1
1587	17.2754	14.4563	11.7044	116.419	1
1604	27.7815	15.5105	17.01	84.9991	2
1605	15.2825	41.7303	20.6245	29.7775	1
1610	16.6703	26.8554	16.9046	-35.952	1
1612	27.932	15.712	10.9433	-154.495	1
1613	16.9283	13.568	24.8344	38.1415	1
1614	12.3096	23.6776	20.0502	5.01329	1
1619	77.2988	25.5681	25.0639	-76.796	1
1620	15.212	21.2261	6.64191	174.53	1
1623	23.2158	13.9556	24.9398	-136.636	4
1626	22.5593	18.8747	19.4503	-133.582	1
1627	10.3986	14.5702	24.1872	-158.959	1
1628	25.745	36.2621	4.80098	-106.597	1
